,geo_level,geo_code,geoid,name,total,No,Unspecified,Yes,province
210,municipality,NC082,municipality-NC082,Kai !Garib,14042,75,30,13937,Northern Cape
211,municipality,NC083,municipality-NC083,//Khara Hais,16685,223,39,16423,Northern Cape
212,municipality,NC084,municipality-NC084,!Kheis,2485,26,1,2458,Northern Cape
213,municipality,NC086,municipality-NC086,Kgatelopele,3316,21,2,3293,Northern Cape
214,municipality,NC091,municipality-NC091,Sol Plaatjie,43669,489,130,43050,Northern Cape
215,municipality,NC092,municipality-NC092,Dikgatlong,8169,113,20,8036,Northern Cape
216,municipality,NC093,municipality-NC093,Magareng,4382,39,7,4336,Northern Cape
217,municipality,NC451,municipality-NC451,Joe Morolong,16163,167,37,15959,Northern Cape
218,municipality,NC452,municipality-NC452,Ga-Segonyana,17881,259,55,17567,Northern Cape
219,municipality,NC453,municipality-NC453,Gamagara,7157,107,33,7017,Northern Cape
220,municipality,CPT,municipality-CPT,City of Cape Town,661974,25430,4875,631669,Northern Cape
221,municipality,WC011,municipality-WC011,Matzikama,11327,123,96,11108,Western Cape
222,municipality,WC013,municipality-WC013,Bergrivier,9517,202,91,9224,Western Cape
223,municipality,WC014,municipality-WC014,Saldanha Bay,17073,265,133,16675,Western Cape
224,municipality,WC015,municipality-WC015,Swartland,18028,235,63,17730,Western Cape
225,municipality,WC022,municipality-WC022,Witzenberg,21404,828,134,20442,Western Cape
226,municipality,WC023,municipality-WC023,Drakenstein,45044,707,404,43933,Western Cape
227,municipality,WC025,municipality-WC025,Breede Valley,29058,1054,157,27847,Western Cape
228,municipality,WC026,municipality-WC026,Langeberg,16930,457,214,16259,Western Cape
229,municipality,WC031,municipality-WC031,Theewaterskloof,18629,375,253,18001,Western Cape
230,municipality,WC032,municipality-WC032,Overstrand,11464,368,128,10968,Western Cape
231,municipality,WC034,municipality-WC034,Swellendam,5870,125,14,5731,Western Cape
232,municipality,WC041,municipality-WC041,Kannaland,4058,32,26,4000,Western Cape
233,municipality,WC042,municipality-WC042,Hessequa,7627,71,36,7520,Western Cape
234,municipality,WC043,municipality-WC043,Mossel Bay,13729,191,120,13418,Western Cape
