geo_level,geo_code,geoid,name,total,From_cell_phone,From_cell_phone_Female,From_cell_phone_Male,From_elsewhere,From_elsewhere_Female,From_elsewhere_Male,From_home,From_home_Female,From_home_Male,From_work,From_work_Female,From_work_Male,No_access_to_internet,No_access_to_internet_Female,No_access_to_internet_Male
municipality,MP305,municipality-MP305,Lekwa,20721,4478,2263,2215,1701,855,846,1362,684,678,566,255,311,12614,6122,6492
municipality,MP306,municipality-MP306,Dipaleseng,7912,1765,857,908,146,85,61,295,142,153,163,73,90,5543,2747,2796
municipality,MP307,municipality-MP307,Govan Mbeki,55942,14146,6923,7223,3178,1525,1653,4839,2340,2499,2126,1057,1069,31653,15139,16514
municipality,MP312,municipality-MP312,Emalahleni,74685,18432,9298,9134,5767,2773,2994,6763,3328,3435,2967,1487,1480,40756,19231,21525
municipality,MP313,municipality-MP313,Steve Tshwete,40750,9663,4754,4909,1725,862,863,4328,2066,2262,2047,1014,1033,22987,11054,11933
municipality,MP314,municipality-MP314,Emakhazeni,8400,2404,1223,1181,342,183,159,401,190,211,162,78,84,5091,2487,2604
municipality,MP315,municipality-MP315,Thembisile,64572,15337,7915,7422,7317,3771,3546,1636,779,857,742,373,369,39540,19779,19761
municipality,MP316,municipality-MP316,Dr JS Moroka,51938,10641,5356,5285,4505,2288,2217,901,438,463,576,270,306,35315,17533,17782
municipality,MP321,municipality-MP321,Thaba Chweu,16619,3672,1834,1838,530,266,264,1249,640,609,545,273,272,10623,5081,5542
municipality,MP323,municipality-MP323,Umjindi,12000,3231,1638,1593,416,216,200,732,371,361,385,217,168,7236,3673,3563
municipality,MP324,municipality-MP324,Nkomazi,91866,20499,10437,10062,3108,1615,1493,2628,1339,1289,1017,528,489,64614,33115,31499
municipality,MP325,municipality-MP325,Bushbuckridge,125665,24042,12152,11890,6506,3420,3086,2346,1219,1127,1119,545,574,91652,47107,44545
municipality,NW371,municipality-NW371,Moretele,35151,6584,3330,3254,2227,1168,1059,604,282,322,358,170,188,25378,12567,12811
municipality,NW372,municipality-NW372,Madibeng,85788,18605,9189,9416,5100,2595,2505,3871,1846,2025,2200,1099,1101,56012,26784,29228
municipality,NW374,municipality-NW374,Kgetlengrivier,8775,1374,701,673,280,140,140,471,218,253,195,87,108,6455,3113,3342
municipality,NW375,municipality-NW375,Moses Kotane,42531,9174,4639,4535,1652,806,846,1118,518,600,643,343,300,29944,14713,15231
municipality,NW381,municipality-NW381,Ratlou,19665,2307,1150,1157,395,204,191,174,83,91,112,56,56,16677,8560,8117
municipality,NW382,municipality-NW382,Tswaing,23208,4273,2233,2040,750,357,393,534,270,264,176,90,86,17475,8810,8665
municipality,NW383,municipality-NW383,Mafikeng,57940,12030,6323,5707,5138,2670,2468,2414,1228,1186,2562,1351,1211,35796,18164,17632
municipality,NW385,municipality-NW385,Ramotshere Moiloa,26076,3932,2026,1906,549,285,264,627,303,324,392,197,195,20576,10310,10266
municipality,NW392,municipality-NW392,Naledi,11720,2612,1367,1245,803,416,387,510,276,234,370,187,183,7425,3709,3716
municipality,NW393,municipality-NW393,Mamusa,11103,1454,742,712,670,332,338,290,152,138,114,59,55,8575,4277,4298
municipality,NW394,municipality-NW394,Greater Taung,33411,4672,2461,2211,1204,634,570,422,217,205,266,129,137,26847,13631,13216
municipality,NW397,municipality-NW397,Kagisano/Molopo,18640,2420,1189,1231,610,341,269,244,113,131,159,81,78,15207,7925,7282
municipality,NW401,municipality-NW401,Ventersdorp,9888,1950,967,983,180,97,83,177,85,92,105,57,48,7476,3738,3738
municipality,NW402,municipality-NW402,Tlokwe City Council,32649,7561,3989,3572,2773,1544,1229,4465,2308,2157,1250,656,594,16600,8155,8445
municipality,NW403,municipality-NW403,City of Matlosana,70284,12557,6411,6146,3514,1849,1665,4078,1943,2135,1952,946,1006,48183,24133,24050
municipality,NW404,municipality-NW404,Maquassi Hills,14075,2328,1199,1129,501,246,255,478,226,252,189,97,92,10579,5366,5213
municipality,NC061,municipality-NC061,Richtersveld,1718,374,189,185,24,9,15,108,48,60,56,35,21,1156,528,628
municipality,NC064,municipality-NC064,Kamiesberg,1307,85,35,50,35,21,14,22,7,15,20,6,14,1145,541,604
municipality,NC065,municipality-NC065,Hantam,3307,855,423,432,32,15,17,110,54,56,73,36,37,2237,1091,1146
municipality,NC066,municipality-NC066,Karoo Hoogland,1603,323,174,149,14,7,7,45,16,29,41,18,23,1180,605,575
municipality,NC067,municipality-NC067,Khâi-Ma,2152,383,181,202,36,24,12,61,29,32,61,27,34,1611,734,877
municipality,NC072,municipality-NC072,Umsobomvu,4786,905,471,434,128,60,68,174,89,85,133,72,61,3446,1711,1735
municipality,NC073,municipality-NC073,Emthanjeni,7046,939,519,420,69,39,30,281,139,142,210,107,103,5547,2791,2756
municipality,NC074,municipality-NC074,Kareeberg,1735,343,190,153,43,27,16,44,20,24,29,19,10,1276,660,616
municipality,NC075,municipality-NC075,Renosterberg,1723,248,128,120,38,18,20,53,21,32,48,18,30,1336,634,702
municipality,NC076,municipality-NC076,Thembelihle,2683,447,224,223,68,40,28,112,56,56,36,18,18,2020,1007,1013
municipality,NC078,municipality-NC078,Siyancuma,6151,672,353,319,62,28,34,206,94,112,119,59,60,5092,2580,2512
