geo_level,geo_code,geoid,name,total,Multidimensionally poor,Multidimensionally poor-Black African,Multidimensionally poor-Black African-Female,Multidimensionally poor-Black African-Male,Multidimensionally poor-Coloured,Multidimensionally poor-Coloured-Female,Multidimensionally poor-Coloured-Male,Multidimensionally poor-Indian or Asian,Multidimensionally poor-Indian or Asian-Female,Multidimensionally poor-Indian or Asian-Male,Multidimensionally poor-Other,Multidimensionally poor-Other-Female,Multidimensionally poor-Other-Male,Multidimensionally poor-White,Multidimensionally poor-White-Female,Multidimensionally poor-White-Male,Non-poor,Non-poor-Black African,Non-poor-Black African-Female,Non-poor-Black African-Male,Non-poor-Coloured,Non-poor-Coloured-Female,Non-poor-Coloured-Male,Non-poor-Indian or Asian,Non-poor-Indian or Asian-Female,Non-poor-Indian or Asian-Male,Non-poor-Other,Non-poor-Other-Female,Non-poor-Other-Male,Non-poor-White,Non-poor-White-Female,Non-poor-White-Male
municipality,KZN245,municipality-KZN245,Umvoti,20559,11314,11206,6066,5140,41,23,18,42,23,19,9,1,8,16,11,5,9245,8658,4537,4121,97,55,42,274,117,157,31,7,24,185,99,86
municipality,KZN252,municipality-KZN252,Newcastle,73445,18438,18068,8997,9071,89,37,52,154,79,75,28,12,16,99,55,44,55007,51646,26196,25450,401,199,202,1648,771,877,81,32,49,1231,613,618
municipality,KZN254,municipality-KZN254,Dannhauser,21445,8643,8591,4144,4447,15,8,7,28,13,15,0,0,0,9,4,5,12802,12477,6337,6140,33,13,20,210,86,124,13,5,8,69,32,37
municipality,KZN261,municipality-KZN261,eDumbe,16779,8299,8272,4212,4060,5,3,2,7,4,3,4,2,2,11,10,1,8480,8316,4184,4132,5,4,1,29,10,19,12,6,6,118,59,59
municipality,KZN262,municipality-KZN262,UPhongolo,27440,12605,12580,6502,6078,5,4,1,5,2,3,7,5,2,8,5,3,14835,14660,7429,7231,16,7,9,16,7,9,13,4,9,130,65,65
municipality,KZN263,municipality-KZN263,Abaqulusi,40665,17629,17519,8750,8769,25,13,12,20,10,10,19,12,7,46,26,20,23036,22084,11124,10960,123,60,63,116,54,62,33,6,27,680,334,346
municipality,KZN265,municipality-KZN265,Nongoma,41991,21322,21245,11152,10093,22,12,10,29,15,14,8,4,4,18,6,12,20669,20587,10581,10006,18,9,9,32,16,16,20,9,11,12,6,6
municipality,KZN266,municipality-KZN266,Ulundi,38211,17333,17279,9045,8234,13,8,5,23,10,13,10,4,6,8,3,5,20878,20787,10768,10019,26,14,12,21,6,15,21,12,9,23,15,8
municipality,KZN272,municipality-KZN272,Jozini,41045,25582,25492,13311,12181,11,5,6,27,12,15,42,21,21,10,4,6,15463,15344,7926,7418,27,15,12,38,18,20,26,15,11,28,15,13
municipality,KZN273,municipality-KZN273,The Big 5 False Bay,6837,4138,4115,2135,1980,7,5,2,11,5,6,3,0,3,2,1,1,2699,2658,1350,1308,3,1,2,2,2,0,1,0,1,35,12,23
municipality,KZN274,municipality-KZN274,Hlabisa,15672,8374,8347,4308,4039,8,5,3,13,6,7,4,2,2,2,1,1,7298,7264,3696,3568,10,7,3,11,3,8,11,6,5,2,2,0
municipality,KZN275,municipality-KZN275,Mtubatuba,36012,16198,16110,8370,7740,29,16,13,27,16,11,15,5,10,17,7,10,19814,19590,10047,9543,65,31,34,61,28,33,18,7,11,80,41,39
municipality,KZN281,municipality-KZN281,Mfolozi,25795,9496,9451,4745,4706,15,9,6,20,14,6,3,2,1,7,6,1,16299,16182,8222,7960,32,12,20,30,15,15,7,1,6,48,20,28
municipality,KZN283,municipality-KZN283,Ntambanana,16326,8771,8738,4380,4358,8,2,6,18,5,13,4,2,2,3,1,2,7555,7517,3874,3643,24,14,10,5,3,2,3,2,1,6,3,3
municipality,KZN284,municipality-KZN284,uMlalazi,42935,23847,23728,12270,11458,42,18,24,41,20,21,16,4,12,20,9,11,19088,18446,9391,9055,163,76,87,216,132,84,33,13,20,230,131,99
municipality,KZN285,municipality-KZN285,Mthonjaneni,9248,5043,5025,2608,2417,2,1,1,3,1,2,8,0,8,5,2,3,4205,4140,2138,2002,22,11,11,18,8,10,2,0,2,23,12,11
municipality,KZN286,municipality-KZN286,Nkandla,23829,14904,14874,7707,7167,11,3,8,2,1,1,9,6,3,8,8,0,8925,8902,4694,4208,3,1,2,7,3,4,1,1,0,12,8,4
municipality,KZN291,municipality-KZN291,Mandeni,28464,11038,10940,5490,5450,20,11,9,53,19,34,12,6,6,13,6,7,17426,16790,8515,8275,94,59,35,375,195,180,25,10,15,142,74,68
municipality,KZN293,municipality-KZN293,Ndwedwe,29301,18444,18293,9239,9054,18,13,5,55,21,34,59,26,33,19,6,13,10857,10660,5389,5271,23,8,15,101,52,49,54,25,29,19,11,8
municipality,KZN294,municipality-KZN294,Maphumulo,20431,13199,13152,7051,6101,16,7,9,13,5,8,8,3,5,10,6,4,7232,7209,3703,3506,7,6,1,6,1,5,5,2,3,5,3,2
municipality,KZN431,municipality-KZN431,Ingwe,20409,13447,13410,6864,6546,12,5,7,11,6,5,10,3,7,4,1,3,6962,6880,3394,3486,18,8,10,13,5,8,9,1,8,42,19,23
municipality,KZN432,municipality-KZN432,Kwa Sani,1497,741,735,347,388,3,0,3,0,0,0,1,1,0,2,0,2,756,703,321,382,6,4,2,2,0,2,0,0,0,45,18,27
municipality,KZN434,municipality-KZN434,Ubuhlebezwe,20461,12230,12154,6174,5980,44,22,22,15,8,7,8,3,5,9,5,4,8231,7995,3977,4018,138,76,62,42,19,23,7,0,7,49,26,23
municipality,KZN435,municipality-KZN435,Umzimkhulu,38643,24241,24164,12453,11711,35,19,16,20,7,13,10,2,8,12,6,6,14402,14305,7713,6592,58,26,32,18,7,11,18,2,16,3,2,1
municipality,LIM331,municipality-LIM331,Greater Giyani,56623,24133,24087,12149,11938,8,5,3,23,16,7,10,3,7,5,3,2,32490,32358,16755,15603,17,13,4,77,26,51,15,6,9,23,10,13
municipality,LIM332,municipality-LIM332,Greater Letaba,49030,19047,18989,9313,9676,5,2,3,6,0,6,32,7,25,15,8,7,29983,29758,14935,14823,26,8,18,23,7,16,25,2,23,151,67,84
municipality,LIM333,municipality-LIM333,Greater Tzaneen,81806,32441,32245,15543,16702,34,19,15,58,26,32,50,13,37,54,27,27,49365,48016,24832,23184,80,28,52,170,63,107,51,15,36,1048,506,542
municipality,LIM335,municipality-LIM335,Maruleng,20284,8635,8588,4307,4281,8,3,5,14,6,8,9,1,8,16,10,6,11649,11343,5760,5583,22,13,9,27,8,19,12,2,10,245,114,131
municipality,LIM341,municipality-LIM341,Musina,11716,4839,4805,2629,2176,1,1,0,2,1,1,10,8,2,21,14,7,6877,6551,3310,3241,21,10,11,23,10,13,13,6,7,269,149,120
