geo_code,geoid,name,total,Discouraged work-seeker-Female,Discouraged work-seeker-Male,Employed-Female,Employed-Male,Other not economically active-Female,Other not economically active-Male,Unemployed-Female,Unemployed-Male
MP315,municipality-MP315,Thembisile,64642,2122,1845,2477,3601,22181,21358,5867,5191
MP316,municipality-MP316,Dr JS Moroka,52034,1493,1390,1128,1786,18732,18962,4578,3965
MP321,municipality-MP321,Thaba Chweu,16701,421,348,1653,2833,4368,4121,1686,1271
MP323,municipality-MP323,Umjindi,12035,339,191,946,1471,3452,3135,1398,1103
MP324,municipality-MP324,Nkomazi,92193,3719,2648,4153,6725,31571,29601,7773,6003
MP325,municipality-MP325,Bushbuckridge,125753,5573,4254,2627,3465,44159,43573,12134,9968
NW371,municipality-NW371,Moretele,35190,1382,1174,1100,1859,11305,11168,3754,3448
NW372,municipality-NW372,Madibeng,86077,1982,1586,6318,13079,22372,20385,10988,9367
NW374,municipality-NW374,Kgetlengrivier,8810,247,192,656,1657,2597,2089,782,590
NW375,municipality-NW375,Moses Kotane,42600,1394,1125,1752,3144,13218,12932,4696,4339
NW381,municipality-NW381,Ratlou,19712,1052,892,414,851,7600,6949,1007,947
NW382,municipality-NW382,Tswaing,23272,1073,714,749,1952,8608,7540,1358,1278
NW383,municipality-NW383,Mafikeng,58043,2052,1600,2356,3193,20367,18819,5013,4643
NW385,municipality-NW385,Ramotshere Moiloa,26143,1380,1152,820,1775,9051,8338,1903,1724
NW392,municipality-NW392,Naledi,11814,404,247,801,1537,3678,3058,1113,976
NW393,municipality-NW393,Mamusa,11127,510,368,469,950,3607,3399,988,836
NW394,municipality-NW394,Greater Taung,33441,1847,1568,674,1051,12274,11512,2295,2220
NW397,municipality-NW397,Kagisano/Molopo,18690,889,576,616,1493,7152,6058,1017,889
NW401,municipality-NW401,Ventersdorp,9912,460,295,512,1284,3201,2754,783,623
NW402,municipality-NW402,Tlokwe City Council,32779,598,339,2756,3918,10903,9726,2466,2073
NW403,municipality-NW403,City of Matlosana,70522,1928,1493,4550,7538,20602,18652,8331,7428
NW404,municipality-NW404,Maquassi Hills,14123,622,357,591,1549,4738,4003,1199,1064
NC061,municipality-NC061,Richtersveld,1724,24,43,274,343,385,365,131,159
NC064,municipality-NC064,Kamiesberg,1308,117,105,101,159,258,272,135,161
NC065,municipality-NC065,Hantam,3310,94,51,322,573,1062,926,144,138
NC066,municipality-NC066,Karoo Hoogland,1605,62,50,150,290,521,367,88,77
NC067,municipality-NC067,Khâi-Ma,2159,53,63,398,559,334,326,212,214
NC072,municipality-NC072,Umsobomvu,4797,184,175,300,480,1454,1329,467,408
NC073,municipality-NC073,Emthanjeni,7069,266,177,491,706,2127,1909,726,667
NC074,municipality-NC074,Kareeberg,1739,112,37,140,250,500,396,167,137
NC075,municipality-NC075,Renosterberg,1726,59,53,179,247,456,466,127,139
NC076,municipality-NC076,Thembelihle,2696,175,89,221,389,648,618,307,249
NC078,municipality-NC078,Siyancuma,6169,270,179,337,760,1968,1680,548,427
NC081,municipality-NC081,Mier,1133,54,39,100,145,322,276,89,108
NC082,municipality-NC082,Kai !Garib,14042,198,125,3248,4465,2622,2336,492,556
NC083,municipality-NC083,//Khara Hais,16685,446,356,1377,1965,5321,4757,1280,1183
NC084,municipality-NC084,!Kheis,2486,112,73,211,394,673,520,246,257
NC086,municipality-NC086,Kgatelopele,3316,81,55,222,495,1032,920,285,226
NC091,municipality-NC091,Sol Plaatjie,43669,1328,1160,3094,3751,12709,12077,5005,4545
NC092,municipality-NC092,Dikgatlong,8169,384,287,275,638,2569,2336,900,780
NC093,municipality-NC093,Magareng,4382,199,192,146,252,1367,1362,436,428
NC451,municipality-NC451,Joe Morolong,16163,913,673,326,632,6424,5773,736,686
NC452,municipality-NC452,Ga-Segonyana,17880,621,561,708,1321,6088,5643,1560,1378
NC453,municipality-NC453,Gamagara,7158,162,137,731,1570,1797,1442,748,571
CPT,municipality-CPT,City of Cape Town,661974,15041,13853,77116,86598,174346,154658,72991,67371
WC011,municipality-WC011,Matzikama,11327,299,212,1613,2301,3024,2443,734,701
WC013,municipality-WC013,Bergrivier,9516,75,103,1952,2254,2520,1987,308,317
WC014,municipality-WC014,Saldanha Bay,17073,404,318,2392,2800,3907,3497,1792,1963
WC015,municipality-WC015,Swartland,18028,269,189,2882,3911,4745,3740,1213,1079
WC022,municipality-WC022,Witzenberg,21404,248,170,4082,5719,5139,4408,862,776
WC023,municipality-WC023,Drakenstein,45042,1161,1033,5995,7137,11936,10809,3587,3384
WC025,municipality-WC025,Breede Valley,29058,341,339,4739,4830,8009,7150,1916,1734
WC026,municipality-WC026,Langeberg,16930,216,195,2723,3624,4721,3816,886,749
WC031,municipality-WC031,Theewaterskloof,18628,474,395,2720,3905,4576,3995,1362,1201
WC032,municipality-WC032,Overstrand,11464,276,215,1662,1922,2486,2130,1403,1370
WC034,municipality-WC034,Swellendam,5869,69,56,746,1304,1698,1400,316,280
WC041,municipality-WC041,Kannaland,4057,98,70,426,710,1244,1048,255,206
WC042,municipality-WC042,Hessequa,7626,335,220,978,1495,2059,1594,518,427
WC043,municipality-WC043,Mossel Bay,13728,383,290,1640,1918,3723,3321,1291,1162
