geo_code,geoid,name,total,Female-Black African,Female-Coloured,Female-Indian or Asian,Female-Other,Female-White,Male-Black African,Male-Coloured,Male-Indian or Asian,Male-Other,Male-White
LIM344,municipality-LIM344,Makhado,110235,53997,93,109,19,539,54544,100,151,117,566
LIM351,municipality-LIM351,Blouberg,36613,18508,1,5,19,35,17894,8,41,64,38
LIM353,municipality-LIM353,Molemole,23477,11432,32,11,17,63,11749,24,28,34,87
LIM354,municipality-LIM354,Polokwane,136895,66357,606,321,116,2039,63974,669,431,168,2214
LIM355,municipality-LIM355,Lepele-Nkumpi,48131,23978,19,8,14,28,23976,16,43,26,23
LIM361,municipality-LIM361,Thabazimbi,13428,5354,39,15,15,803,6325,40,15,32,790
LIM362,municipality-LIM362,Lephalale,24147,10492,77,15,13,560,12157,115,50,41,627
LIM365,municipality-LIM365,Modimolle,12537,5840,20,12,8,364,5872,32,47,22,320
LIM366,municipality-LIM366,Bela-Bela,11808,5282,106,32,5,365,5509,103,32,21,353
BUF,municipality-BUF,Buffalo City,142385,64069,4259,425,168,3534,61244,4252,508,405,3521
EC101,municipality-EC101,Camdeboo,9295,1326,2955,19,17,220,1253,3163,38,25,279
EC105,municipality-EC105,Ndlambe,9741,4098,382,8,17,312,4168,372,20,60,304
EC122,municipality-EC122,Mnquma,51967,25307,66,31,12,48,26306,64,41,38,54
EC128,municipality-EC128,Nxuba,4207,1568,423,11,11,42,1615,449,13,19,56
EC135,municipality-EC135,Intsika Yethu,27350,12657,37,8,12,16,14449,62,37,50,22
EC144,municipality-EC144,Gariep,5956,2269,424,2,8,137,2453,520,11,20,112
EC157,municipality-EC157,King Sabata Dalindyebo,105777,54043,389,115,45,152,50211,379,195,120,128
NMA,municipality-NMA,Nelson Mandela Bay,213918,69389,25672,1079,757,11336,66872,24568,1143,1477,11625
FS164,municipality-FS164,Naledi,4789,2354,37,5,0,49,2217,38,18,14,57
FS191,municipality-FS191,Setsoto,21757,10646,110,69,10,324,10069,107,83,27,312
FS196,municipality-FS196,Mantsopa,9794,4585,177,27,11,162,4426,184,28,31,163
MAN,municipality-MAN,Mangaung,152798,65832,3931,267,158,7031,64309,3722,416,299,6833
EKU,municipality-EKU,Ekurhuleni,568058,237728,8229,4622,935,30757,240306,7900,5276,1694,30611
GT422,municipality-GT422,Midvaal,15881,5239,172,76,29,2383,5345,133,47,33,2424
GT484,municipality-GT484,Merafong City,34032,15147,189,42,19,1600,15229,193,64,58,1491
JHB,municipality-JHB,City of Johannesburg,792460,331374,23208,14387,1958,28723,323166,22612,15052,2421,29559
TSH,municipality-TSH,City of Tshwane,550814,226468,5793,3934,1132,40693,220579,5649,4363,1639,40564
ETH,municipality-ETH,eThekwini,710722,286430,8434,50781,1186,12964,276470,8138,51369,1529,13421
KZN216,municipality-KZN216,Hibiscus Coast,50429,23088,379,1097,42,1069,22086,358,1127,51,1132
KZN227,municipality-KZN227,Richmond,12899,6205,64,57,10,68,6279,64,73,13,66
KZN241,municipality-KZN241,Endumeni,13304,5759,180,303,16,261,6042,174,295,17,257
KZN253,municipality-KZN253,Emadlangeni,6654,2996,44,6,2,91,3401,33,2,5,74
KZN271,municipality-KZN271,Umhlabuyalingana,33674,17365,11,15,14,16,16191,11,21,17,13
KZN282,municipality-KZN282,uMhlathuze,73321,35236,316,1209,55,1616,31667,336,1142,94,1650
KZN292,municipality-KZN292,KwaDukuza,45659,19520,221,2793,112,558,18680,210,2869,201,495
KZN433,municipality-KZN433,Greater Kokstad,13749,6491,506,39,13,102,5905,513,51,19,110
LIM334,municipality-LIM334,Ba-Phalaborwa,30481,14961,42,23,6,503,14376,37,28,14,491
LIM352,municipality-LIM352,Aganang,28100,13901,16,0,12,16,14049,11,27,54,14
LIM364,municipality-LIM364,Mookgopong,6135,2745,12,5,8,148,2973,15,13,31,185
LIM367,municipality-LIM367,Mogalakwena,64779,31808,41,113,33,577,31320,48,194,86,559
LIM471,municipality-LIM471,Ephraim Mogale,25364,12405,7,18,19,102,12605,8,44,44,112
LIM472,municipality-LIM472,Elias Motsoaledi,52958,26375,27,27,16,209,25871,29,105,77,222
LIM473,municipality-LIM473,Makhuduthamaga,56976,28979,13,33,14,19,27776,17,73,40,12
LIM474,municipality-LIM474,Fetakgomo,19317,9840,4,3,5,33,9374,0,17,22,19
LIM475,municipality-LIM475,Greater Tubatse,71928,36093,57,48,21,301,34919,64,60,35,330
MP301,municipality-MP301,Albert Luthuli,41826,21096,53,41,21,162,20006,69,138,63,177
MP302,municipality-MP302,Msukaligwa,29164,13301,94,111,30,1083,13151,76,171,65,1082
MP304,municipality-MP304,Pixley Ka Seme,16069,7686,36,80,5,381,7318,61,91,20,391
MP305,municipality-MP305,Lekwa,21497,8994,328,94,15,973,9498,319,122,54,1100
MP306,municipality-MP306,Dipaleseng,7976,3664,24,17,2,212,3752,15,31,10,249
MP307,municipality-MP307,Govan Mbeki,56737,22937,402,370,67,3443,25046,440,415,162,3455
MP312,municipality-MP312,Emalahleni,75645,30968,623,239,62,4474,33419,651,370,237,4602
MP313,municipality-MP313,Steve Tshwete,41768,15677,640,247,54,3534,16707,634,347,121,3807
MP314,municipality-MP314,Emakhazeni,8660,3904,67,23,2,250,4013,65,45,5,286
MP315,municipality-MP315,Thembisile,64731,32484,78,79,28,22,31617,66,202,129,26
MP316,municipality-MP316,Dr JS Moroka,52138,25904,35,26,11,9,25896,42,130,71,14
MP321,municipality-MP321,Thaba Chweu,17549,7214,265,41,39,997,7600,252,62,91,988
MP323,municipality-MP323,Umjindi,12989,5618,152,53,3,437,6067,115,66,16,462
MP324,municipality-MP324,Nkomazi,92704,46790,143,98,35,389,44439,123,247,64,376
MP325,municipality-MP325,Bushbuckridge,125919,64409,84,23,12,66,60990,73,129,58,75
NW371,municipality-NW371,Moretele,35226,17493,23,10,7,26,17507,35,39,62,24
NW372,municipality-NW372,Madibeng,87476,38452,446,143,119,2939,41230,390,324,264,3169
NW374,municipality-NW374,Kgetlengrivier,9279,3804,85,39,21,561,3920,118,45,32,654
NW375,municipality-NW375,Moses Kotane,43099,21103,53,52,26,100,21388,58,120,65,134
NW381,municipality-NW381,Ratlou,19741,9929,88,7,10,42,9462,90,49,19,45
NW382,municipality-NW382,Tswaing,23326,11138,178,9,18,466,10737,239,60,38,443
NW383,municipality-NW383,Mafikeng,59427,29364,595,175,24,250,27737,692,272,71,247
NW385,municipality-NW385,Ramotshere Moiloa,27003,13010,122,68,33,352,12745,135,107,64,367
NW392,municipality-NW392,Naledi,11876,4584,987,59,40,346,4477,852,58,67,406
NW393,municipality-NW393,Mamusa,11189,5256,119,13,9,207,5168,148,45,18,206
NW394,municipality-NW394,Greater Taung,33812,17043,195,18,22,20,16162,187,68,43,54
NW397,municipality-NW397,Kagisano/Molopo,18762,9411,158,5,25,104,8710,147,44,32,126
NW401,municipality-NW401,Ventersdorp,9917,4530,165,6,71,184,4491,173,28,76,193
NW402,municipality-NW402,Tlokwe City Council,33843,10939,1174,180,56,4879,10864,1025,214,119,4393
NW403,municipality-NW403,City of Matlosana,71392,30505,1288,221,60,3618,30115,1262,408,141,3774
NW404,municipality-NW404,Maquassi Hills,14363,6606,198,21,12,384,6507,191,58,35,351
NC061,municipality-NC061,Richtersveld,1772,103,672,5,6,45,107,784,3,13,34
NC064,municipality-NC064,Kamiesberg,1604,55,663,2,2,19,50,778,6,7,22
NC065,municipality-NC065,Hantam,3445,71,1505,10,3,86,73,1582,10,16,89
NC066,municipality-NC066,Karoo Hoogland,1765,72,780,13,4,34,69,723,13,3,54
NC067,municipality-NC067,Khâi-Ma,2260,244,795,2,9,28,345,771,7,12,47
NC072,municipality-NC072,Umsobomvu,4868,1582,759,7,15,57,1609,734,13,29,63
NC073,municipality-NC073,Emthanjeni,7322,1179,2275,14,7,194,1233,2182,29,29,180
NC074,municipality-NC074,Kareeberg,1871,43,885,2,1,33,60,796,5,5,41
NC075,municipality-NC075,Renosterberg,1727,270,514,5,2,30,334,529,7,2,34
NC076,municipality-NC076,Thembelihle,2755,225,1020,0,2,126,216,1005,14,12,135
NC078,municipality-NC078,Siyancuma,6346,1019,1929,21,37,153,992,1965,23,59,148
NC081,municipality-NC081,Mier,1223,24,579,8,0,6,41,545,3,6,11
NC082,municipality-NC082,Kai !Garib,14201,2611,3651,38,133,188,3497,3622,49,199,213
NC083,municipality-NC083,//Khara Hais,17179,2002,5888,34,68,560,2129,5744,70,132,552
NC084,municipality-NC084,!Kheis,2615,70,1177,6,10,40,110,1114,21,21,46
NC086,municipality-NC086,Kgatelopele,3319,809,715,8,7,80,835,721,12,19,113
NC091,municipality-NC091,Sol Plaatjie,44776,14188,6471,203,523,1159,13976,6325,254,524,1153
NC092,municipality-NC092,Dikgatlong,8219,2417,1297,19,313,84,2380,1238,30,335,106
NC093,municipality-NC093,Magareng,4386,1755,321,7,1,66,1800,339,22,5,70
NC451,municipality-NC451,Joe Morolong,16219,8190,155,7,11,57,7510,135,49,22,83
NC452,municipality-NC452,Ga-Segonyana,17961,8076,668,17,29,257,7876,692,54,52,240
NC453,municipality-NC453,Gamagara,7517,1917,1158,15,73,371,2271,1172,27,77,436
CPT,municipality-CPT,City of Cape Town,684630,160984,145162,4394,4145,34941,144987,143559,4859,6526,35073
WC011,municipality-WC011,Matzikama,12186,589,4804,37,63,576,736,4692,37,88,564
WC013,municipality-WC013,Bergrivier,10633,1062,3959,17,20,512,726,3733,27,51,526
WC014,municipality-WC014,Saldanha Bay,17815,2611,5224,76,33,973,2606,5113,80,102,997
WC015,municipality-WC015,Swartland,20481,2537,6894,45,44,871,2366,6685,57,109,873
WC022,municipality-WC022,Witzenberg,22253,2791,7255,22,49,421,3610,7294,46,95,670
WC023,municipality-WC023,Drakenstein,48637,6095,15021,112,145,2694,6248,15500,110,262,2450
WC025,municipality-WC025,Breede Valley,30755,4185,10057,72,144,1043,4122,9701,103,162,1166
WC026,municipality-WC026,Langeberg,17191,1558,6479,18,56,540,1509,6373,19,102,537
WC031,municipality-WC031,Theewaterskloof,19212,2672,6141,24,59,441,3156,6046,35,140,498
WC032,municipality-WC032,Overstrand,11665,2870,2235,14,46,775,2746,2135,27,83,734
WC034,municipality-WC034,Swellendam,6109,407,2297,6,21,228,537,2282,12,48,271
WC041,municipality-WC041,Kannaland,4238,120,1864,5,11,101,122,1891,3,8,113
WC042,municipality-WC042,Hessequa,7662,262,3155,24,5,467,313,2953,21,22,440
WC043,municipality-WC043,Mossel Bay,13873,2665,3450,38,41,916,2359,3370,45,95,894
