geo_code,geoid,name,total,Employed-Female,Employed-Male,NEET-Female,NEET-Male,School/post-school,School/post-school-employment education training,School/post-school-Female,School/post-school-Male
KZN241,municipality-KZN241,Endumeni,12435,774,1197,2475,1937,6052,0,2920,3132
KZN253,municipality-KZN253,Emadlangeni,6354,278,478,1190,972,3436,0,1544,1892
KZN271,municipality-KZN271,Umhlabuyalingana,32882,836,773,5195,3532,22546,0,10956,11590
KZN282,municipality-KZN282,uMhlathuze,67131,4866,5760,11595,8541,36369,0,18624,17745
KZN292,municipality-KZN292,KwaDukuza,44573,4395,6373,8944,6335,18526,0,9250,9276
KZN433,municipality-KZN433,Greater Kokstad,13180,1135,1502,2359,1701,6483,0,3360,3123
LIM334,municipality-LIM334,Ba-Phalaborwa,29720,1150,1798,4981,3403,18388,0,9018,9370
LIM352,municipality-LIM352,Aganang,27304,438,656,3981,2662,19567,0,9073,10494
LIM364,municipality-LIM364,Mookgopong,5998,639,1122,1202,930,2105,0,1011,1094
LIM367,municipality-LIM367,Mogalakwena,63452,1907,2880,10518,8049,40098,0,19540,20558
LIM471,municipality-LIM471,Ephraim Mogale,24938,925,1594,4579,3171,14669,0,6823,7846
LIM472,municipality-LIM472,Elias Motsoaledi,51592,1519,2389,8249,5834,33601,0,16159,17442
LIM473,municipality-LIM473,Makhuduthamaga,55652,831,1138,9380,6412,37891,0,18036,19855
LIM474,municipality-LIM474,Fetakgomo,18864,274,461,3078,2138,12913,0,6266,6647
LIM475,municipality-LIM475,Greater Tubatse,69892,1859,3375,13755,9886,41017,0,19847,21170
MP301,municipality-MP301,Albert Luthuli,41028,1607,2330,7479,5264,24348,0,11893,12455
MP302,municipality-MP302,Msukaligwa,28168,2146,3604,5504,3707,13207,0,6520,6687
MP304,municipality-MP304,Pixley Ka Seme,15709,618,1048,3062,2085,8896,0,4306,4590
MP305,municipality-MP305,Lekwa,20510,1434,2681,3691,2661,10043,0,4917,5126
MP306,municipality-MP306,Dipaleseng,7740,402,905,1628,1218,3587,0,1768,1819
MP307,municipality-MP307,Govan Mbeki,54627,4575,8406,9725,7796,24125,0,11968,12157
MP312,municipality-MP312,Emalahleni,73459,6004,11145,12852,10181,33277,0,16557,16720
MP313,municipality-MP313,Steve Tshwete,39806,3902,7119,6607,4890,17288,0,8720,8568
MP314,municipality-MP314,Emakhazeni,8143,560,1108,1517,1089,3869,0,1940,1929
MP315,municipality-MP315,Thembisile,63562,2477,3601,11569,9248,36667,0,18046,18621
MP316,municipality-MP316,Dr JS Moroka,51320,1128,1786,9033,7185,32188,0,15372,16816
MP321,municipality-MP321,Thaba Chweu,16262,1653,2833,2848,1990,6938,0,3369,3569
MP323,municipality-MP323,Umjindi,11782,946,1471,2106,1394,5865,0,2944,2921
MP324,municipality-MP324,Nkomazi,89422,4153,6725,15827,10419,52298,0,25695,26603
MP325,municipality-MP325,Bushbuckridge,124504,2627,3465,25075,17848,75489,0,36075,39414
NW371,municipality-NW371,Moretele,34621,1100,1859,7747,6474,17441,0,8377,9064
NW372,municipality-NW372,Madibeng,84436,6318,13079,18684,14100,32255,0,15697,16558
NW374,municipality-NW374,Kgetlengrivier,8483,656,1657,1985,1213,2972,0,1465,1507
NW375,municipality-NW375,Moses Kotane,41472,1752,3144,9649,7749,19178,0,9024,10154
NW381,municipality-NW381,Ratlou,19424,414,851,4441,3294,10424,0,5067,5357
NW382,municipality-NW382,Tswaing,23032,749,1952,5595,3670,11066,0,5292,5774
NW383,municipality-NW383,Mafikeng,57286,2356,3193,10029,7901,33807,0,17004,16803
NW385,municipality-NW385,Ramotshere Moiloa,25711,820,1775,5578,4313,13225,0,6517,6708
NW392,municipality-NW392,Naledi,11545,801,1537,2615,1735,4857,0,2432,2425
NW393,municipality-NW393,Mamusa,10978,469,950,2610,1803,5146,0,2411,2735
NW394,municipality-NW394,Greater Taung,32785,674,1051,6802,5187,19071,0,9248,9823
NW397,municipality-NW397,Kagisano/Molopo,18366,616,1493,3981,2356,9920,0,4881,5039
NW401,municipality-NW401,Ventersdorp,9717,512,1284,2584,1652,3685,0,1728,1957
NW402,municipality-NW402,Tlokwe City Council,32082,2756,3918,4639,3380,17389,0,8955,8434
NW403,municipality-NW403,City of Matlosana,69010,4550,7538,14330,10767,31825,0,15686,16139
NW404,municipality-NW404,Maquassi Hills,13903,591,1549,3460,2210,6093,0,2977,3116
NC061,municipality-NC061,Richtersveld,1718,274,343,278,279,544,0,259,285
NC064,municipality-NC064,Kamiesberg,1250,101,159,325,310,355,0,154,201
NC065,municipality-NC065,Hantam,3284,322,573,716,557,1116,0,567,549
NC066,municipality-NC066,Karoo Hoogland,1589,150,290,381,226,542,0,282,260
NC067,municipality-NC067,Khâi-Ma,2128,398,559,376,359,436,0,213,223
NC072,municipality-NC072,Umsobomvu,4720,300,480,1061,797,2082,0,999,1083
NC073,municipality-NC073,Emthanjeni,6906,491,706,1572,1182,2955,0,1456,1499
NC074,municipality-NC074,Kareeberg,1703,140,250,481,310,522,0,275,247
NC075,municipality-NC075,Renosterberg,1699,179,247,342,306,625,0,289,336
NC076,municipality-NC076,Thembelihle,2663,221,389,694,454,905,0,417,488
NC078,municipality-NC078,Siyancuma,6073,337,760,1474,994,2508,0,1255,1253
NC081,municipality-NC081,Mier,1115,100,145,289,266,315,0,168,147
NC082,municipality-NC082,Kai !Garib,13927,3248,4465,1705,1404,3105,0,1540,1565
NC083,municipality-NC083,//Khara Hais,16336,1377,1965,3128,2590,7276,0,3723,3553
NC084,municipality-NC084,!Kheis,2461,211,394,585,462,809,0,432,377
NC086,municipality-NC086,Kgatelopele,3256,222,495,684,443,1412,0,681,731
NC091,municipality-NC091,Sol Plaatjie,42327,3094,3751,8508,7098,19876,0,9833,10043
NC092,municipality-NC092,Dikgatlong,7838,275,638,1929,1550,3446,0,1727,1719
NC093,municipality-NC093,Magareng,4281,146,252,1039,894,1950,0,915,1035
NC451,municipality-NC451,Joe Morolong,15959,326,632,3581,2263,9157,0,4399,4758
NC452,municipality-NC452,Ga-Segonyana,17618,708,1321,3474,2614,9501,0,4649,4852
NC453,municipality-NC453,Gamagara,6949,731,1570,1369,900,2379,0,1205,1174
CPT,municipality-CPT,City of Cape Town,637486,77116,86598,111472,98642,263658,0,138209,125449
WC011,municipality-WC011,Matzikama,11128,1613,2301,2198,1585,3431,0,1735,1696
WC013,municipality-WC013,Bergrivier,9398,1952,2254,1360,1040,2792,0,1472,1320
WC014,municipality-WC014,Saldanha Bay,16802,2392,2800,3252,3094,5264,0,2716,2548
WC015,municipality-WC015,Swartland,17802,2882,3911,3251,2379,5379,0,2852,2527
WC022,municipality-WC022,Witzenberg,21036,4082,5719,2927,2197,6111,0,3146,2965
WC023,municipality-WC023,Drakenstein,43045,5995,7137,6795,6126,16992,0,8851,8141
WC025,municipality-WC025,Breede Valley,28334,4739,4830,4399,3762,10604,0,5493,5111
WC026,municipality-WC026,Langeberg,16602,2723,3624,3055,2084,5116,0,2584,2532
WC031,municipality-WC031,Theewaterskloof,17464,2720,3905,2798,2201,5840,0,3010,2830
WC032,municipality-WC032,Overstrand,11193,1662,1922,2233,1989,3387,0,1796,1591
WC034,municipality-WC034,Swellendam,5772,746,1304,1152,841,1729,0,863,866
WC041,municipality-WC041,Kannaland,3970,426,710,990,718,1126,0,560,566
WC042,municipality-WC042,Hessequa,7499,978,1495,1505,1012,2509,0,1326,1183
WC043,municipality-WC043,Mossel Bay,12636,1640,1918,2396,1970,4712,0,2395,2317
