geo_code,geoid,name,total,From cell phone-Female,From cell phone-Male,From elsewhere-Female,From elsewhere-Male,From home-Female,From home-Male,From work-Female,From work-Male,No access to internet-Female,No access to internet-Male
NC452,municipality-NC452,Ga-Segonyana,17842,1416,1321,154,138,329,339,206,185,6850,6904
NC453,municipality-NC453,Gamagara,7106,945,1015,66,70,332,346,191,176,1878,2087
CPT,municipality-CPT,City of Cape Town,658984,72097,62635,32576,29548,46922,46577,15169,13952,171239,168269
WC011,municipality-WC011,Matzikama,11311,792,760,142,105,386,353,146,167,4198,4262
WC013,municipality-WC013,Bergrivier,9483,624,557,55,66,306,295,105,121,3750,3604
WC014,municipality-WC014,Saldanha Bay,17031,1569,1571,334,334,728,793,241,237,5602,5622
WC015,municipality-WC015,Swartland,17981,1294,1117,278,256,632,688,301,253,6583,6579
WC022,municipality-WC022,Witzenberg,21326,1645,1589,167,136,386,417,279,315,7822,8570
WC023,municipality-WC023,Drakenstein,44783,4968,4506,773,652,2124,2130,687,686,13997,14260
WC025,municipality-WC025,Breede Valley,28930,3062,2705,300,270,845,883,343,317,10383,9822
WC026,municipality-WC026,Langeberg,16863,1350,1172,384,376,390,427,132,157,6252,6223
WC031,municipality-WC031,Theewaterskloof,18470,2003,1825,265,246,442,479,230,206,6138,6636
WC032,municipality-WC032,Overstrand,11391,918,780,255,170,539,501,142,153,3939,3994
WC034,municipality-WC034,Swellendam,5858,822,874,59,47,141,161,79,75,1720,1880
WC041,municipality-WC041,Kannaland,4041,322,263,22,46,100,81,34,27,1537,1609
WC042,municipality-WC042,Hessequa,7616,665,574,71,70,281,279,85,94,2785,2712
WC043,municipality-WC043,Mossel Bay,13655,1136,1006,239,240,746,761,243,215,4634,4435
