geo_code,geoid,name,total,Have electricity for everything-Female,Have electricity for everything-Male,Have electricity for some things-Female,Have electricity for some things-Male,No electricity-Female,No electricity-Male
NMA,municipality-NMA,Nelson Mandela Bay,213917,57561,55246,42940,42847,7732,7591
FS164,municipality-FS164,Naledi,4789,980,976,1335,1259,130,109
FS191,municipality-FS191,Setsoto,21757,4733,4394,5297,5114,1129,1090
FS196,municipality-FS196,Mantsopa,9794,1715,1695,2877,2782,370,355
MAN,municipality-MAN,Mangaung,152798,41237,39769,31673,31662,4309,4148
EKU,municipality-EKU,Ekurhuleni,568059,189360,185613,53790,54538,39122,45636
GT422,municipality-GT422,Midvaal,15880,4774,4624,1800,1862,1324,1496
GT484,municipality-GT484,Merafong City,34033,10497,10462,3735,3758,2765,2816
JHB,municipality-JHB,City of Johannesburg,792458,327094,312700,41461,43185,31095,36923
TSH,municipality-TSH,City of Tshwane,550816,203785,192988,51963,54799,22273,25008
ETH,municipality-ETH,eThekwini,710723,266568,258685,68140,67571,25087,24672
KZN216,municipality-KZN216,Hibiscus Coast,50427,14901,14150,7828,7814,2944,2790
KZN227,municipality-KZN227,Richmond,12898,2677,2833,2753,2734,973,928
KZN241,municipality-KZN241,Endumeni,13305,3005,3239,1995,1983,1520,1563
KZN253,municipality-KZN253,Emadlangeni,6653,629,709,624,610,1886,2195
KZN271,municipality-KZN271,Umhlabuyalingana,33674,856,649,1131,1085,15434,14519
KZN282,municipality-KZN282,uMhlathuze,73322,27533,23774,8763,9035,2137,2080
KZN292,municipality-KZN292,KwaDukuza,45660,16397,15666,5095,5012,1713,1777
KZN433,municipality-KZN433,Greater Kokstad,13751,2292,2055,3574,3246,1286,1298
LIM334,municipality-LIM334,Ba-Phalaborwa,30481,7209,6903,7290,7156,1035,888
LIM352,municipality-LIM352,Aganang,28098,4395,4657,8947,8927,603,569
LIM364,municipality-LIM364,Mookgopong,6135,1625,1688,980,1036,312,494
LIM367,municipality-LIM367,Mogalakwena,64779,13499,13538,17020,16780,2053,1889
LIM471,municipality-LIM471,Ephraim Mogale,25364,3401,3536,8251,8258,899,1019
LIM472,municipality-LIM472,Elias Motsoaledi,52956,10801,10898,14251,13823,1601,1582
LIM473,municipality-LIM473,Makhuduthamaga,56975,7937,8228,18856,17801,2264,1889
LIM474,municipality-LIM474,Fetakgomo,19315,3676,3635,5548,5184,660,612
LIM475,municipality-LIM475,Greater Tubatse,71926,11132,11338,17548,16870,7839,7199
MP301,municipality-MP301,Albert Luthuli,41825,6754,6208,12350,12018,2268,2227
MP302,municipality-MP302,Msukaligwa,29165,4655,4817,6173,6009,3792,3719
MP304,municipality-MP304,Pixley Ka Seme,16070,2133,2109,4575,4386,1481,1386
MP305,municipality-MP305,Lekwa,21497,5819,6265,3525,3686,1060,1142
MP306,municipality-MP306,Dipaleseng,7978,1979,2104,1348,1397,594,556
MP307,municipality-MP307,Govan Mbeki,56737,15852,17242,9309,9893,2059,2382
MP312,municipality-MP312,Emalahleni,75648,24855,25509,4807,5387,6705,8385
MP313,municipality-MP313,Steve Tshwete,41767,11305,12119,7191,7609,1656,1887
MP314,municipality-MP314,Emakhazeni,8662,1080,1148,2503,2552,664,715
MP315,municipality-MP315,Thembisile,64730,18786,18113,12598,12632,1307,1294
MP316,municipality-MP316,Dr JS Moroka,52137,13282,13563,12218,12112,485,477
MP321,municipality-MP321,Thaba Chweu,17550,4870,4956,2514,2692,1173,1345
MP323,municipality-MP323,Umjindi,12989,3423,3604,1515,1906,1325,1216
MP324,municipality-MP324,Nkomazi,92705,20931,19791,21780,20937,4744,4522
MP325,municipality-MP325,Bushbuckridge,125920,24573,23647,37729,35735,2293,1943
NW371,municipality-NW371,Moretele,35227,10259,10242,6382,6562,919,863
NW372,municipality-NW372,Madibeng,87477,27356,29122,8882,9606,5862,6649
NW374,municipality-NW374,Kgetlengrivier,9280,2092,2260,1328,1461,1091,1048
NW375,municipality-NW375,Moses Kotane,43100,12503,12808,7452,7566,1379,1392
NW381,municipality-NW381,Ratlou,19741,4284,4209,4509,4307,1283,1149
NW382,municipality-NW382,Tswaing,23328,5378,5384,3425,3431,3006,2704
NW383,municipality-NW383,Mafikeng,59428,18957,17703,8125,8189,3326,3128
NW385,municipality-NW385,Ramotshere Moiloa,27005,5653,5729,5779,5551,2154,2139
NW392,municipality-NW392,Naledi,11874,2677,2576,1947,1906,1392,1376
NW393,municipality-NW393,Mamusa,11189,3533,3474,1158,1251,913,860
NW394,municipality-NW394,Greater Taung,33811,6375,6138,9693,9249,1229,1127
NW397,municipality-NW397,Kagisano/Molopo,18762,3200,3092,4655,4223,1848,1744
NW401,municipality-NW401,Ventersdorp,9917,1991,1901,1939,2051,1026,1009
NW402,municipality-NW402,Tlokwe City Council,33843,11439,10672,4680,4888,1110,1054
NW403,municipality-NW403,City of Matlosana,71392,25169,24827,7730,8068,2794,2804
NW404,municipality-NW404,Maquassi Hills,14363,4240,4096,1872,1894,1109,1152
NC061,municipality-NC061,Richtersveld,1771,588,704,228,227,14,10
NC064,municipality-NC064,Kamiesberg,1604,397,435,322,406,22,22
