geo_code,geoid,name,total,Income-poor-0-14,Income-poor-15-24,Income-poor-25-34,Income-poor-35-44,Income-poor-45-54,Income-poor-55-64,Income-poor-65+,Non-poor-0-14,Non-poor-15-24,Non-poor-25-34,Non-poor-35-44,Non-poor-45-54,Non-poor-55-64,Non-poor-65+
KZN282,municipality-KZN282,uMhlathuze,280231,51538,33556,22374,12785,8729,5572,5000,34246,26711,30620,21462,14594,8155,4889
KZN292,municipality-KZN292,KwaDukuza,202612,43483,24126,18076,11508,7120,4126,3312,18238,16412,20301,14068,9259,6760,5823
KZN433,municipality-KZN433,Greater Kokstad,55688,12321,7057,4711,3139,2099,1070,797,6039,4515,5455,3861,2499,1301,824
LIM334,municipality-LIM334,Ba-Phalaborwa,133184,32558,18114,11867,7693,4725,3026,2940,13124,8844,10121,8235,5922,3682,2333
LIM352,municipality-LIM352,Aganang,120139,39997,20969,8421,6274,6034,5783,8793,5747,3587,2425,2387,2438,2506,4778
LIM364,municipality-LIM364,Mookgopong,29674,5468,3360,2691,1874,1089,618,541,1985,2101,3204,2354,1719,1220,1450
LIM367,municipality-LIM367,Mogalakwena,273853,78483,44260,22884,15875,12402,10077,14424,17261,12009,12850,10631,8511,5813,8373
LIM471,municipality-LIM471,Ephraim Mogale,107732,34412,18495,9768,6745,5145,4147,5936,4529,3669,4218,3392,2744,1895,2637
LIM472,municipality-LIM472,Elias Motsoaledi,222134,70476,38366,19227,12731,10266,8632,11921,11514,8239,8375,6997,5558,4004,5828
LIM473,municipality-LIM473,Makhuduthamaga,251006,86592,44788,23140,16107,12518,11287,16185,10873,5930,5049,4936,4107,3273,6221
LIM474,municipality-LIM474,Fetakgomo,84302,24468,13313,7494,4846,3775,3427,5328,5852,3453,3360,2752,2361,1407,2466
LIM475,municipality-LIM475,Greater Tubatse,296276,80232,45916,28327,16840,11808,8559,11304,24994,16108,19964,13209,8634,4530,5851
MP301,municipality-MP301,Albert Luthuli,165902,52859,29527,13695,9233,8133,6394,6239,10224,7199,7129,5501,3930,2640,3199
MP302,municipality-MP302,Msukaligwa,125114,26724,15433,9363,6436,5019,3301,2337,12983,10058,12453,8261,6241,3806,2699
MP304,municipality-MP304,Pixley Ka Seme,69344,20398,10781,5941,4198,3621,2584,2335,4597,3227,3419,2782,2205,1663,1593
MP305,municipality-MP305,Lekwa,99687,19339,11070,7435,5341,4413,2735,2288,10627,7846,9181,7075,5881,3684,2772
MP306,municipality-MP306,Dipaleseng,35320,7468,4332,3059,2129,1638,1163,932,3103,2403,3137,2003,1590,1166,1197
MP307,municipality-MP307,Govan Mbeki,242097,37389,22091,15472,10616,8778,4826,3585,31762,24912,31263,20510,17146,8763,4984
MP312,municipality-MP312,Emalahleni,340701,42252,26290,19318,13378,10009,5959,3743,49034,38938,49491,33473,26254,14319,8243
MP313,municipality-MP313,Steve Tshwete,188388,21649,13331,9696,6968,5061,3150,2279,28411,21845,27219,20039,15163,8398,5179
