,total_amount,account_type,mun_code,mun_name,label,Province
2013,21119447.0,AUDA,NC452,Ga-Segonyana,Total Repairs and Maintenance Expenditure,Northern Cape
2013,0.0,AUDA,NC453,Gamagara,Total Repairs and Maintenance Expenditure,Northern Cape
2013,472823760.0,AUDA,NMA,Nelson Mandela Bay,Total Repairs and Maintenance Expenditure,Northern Cape
2013,0.0,AUDA,NW371,Moretele,Total Repairs and Maintenance Expenditure,Eastern Cape
2013,0.0,AUDA,NW372,Local Municipality of Madibeng,Total Repairs and Maintenance Expenditure,North West
2013,171935589.0,AUDA,NW373,Rustenburg,Total Repairs and Maintenance Expenditure,North West
2013,11801664.0,AUDA,NW374,Kgetlengrivier,Total Repairs and Maintenance Expenditure,North West
2013,21442000.0,AUDA,NW375,Moses Kotane,Total Repairs and Maintenance Expenditure,North West
2013,2831594.0,AUDA,NW381,Ratlou,Total Repairs and Maintenance Expenditure,North West
2013,3538733.0,AUDA,NW382,Tswaing,Total Repairs and Maintenance Expenditure,North West
2013,24733378.0,AUDA,NW383,Mafikeng,Total Repairs and Maintenance Expenditure,North West
2013,0.0,AUDA,NW384,Ditsobotla,Total Repairs and Maintenance Expenditure,North West
2013,5854613.0,AUDA,NW385,Ramotshere Moiloa,Total Repairs and Maintenance Expenditure,North West
2013,16702455.0,AUDA,NW392,Naledi,Total Repairs and Maintenance Expenditure,North West
2013,6044941.0,AUDA,NW393,Mamusa,Total Repairs and Maintenance Expenditure,North West
2013,0.0,AUDA,NW394,Greater Taung,Total Repairs and Maintenance Expenditure,North West
2013,5150227.0,AUDA,NW396,Lekwa-Teemane,Total Repairs and Maintenance Expenditure,North West
2013,0.0,AUDA,NW397,Kagisano/Molopo,Total Repairs and Maintenance Expenditure,North West
2013,0.0,AUDA,NW401,Ventersdorp,Total Repairs and Maintenance Expenditure,North West
2013,40058379.0,AUDA,NW402,Tlokwe City Council,Total Repairs and Maintenance Expenditure,North West
2013,45841000.0,AUDA,NW403,City of Matlosana,Total Repairs and Maintenance Expenditure,North West
2013,0.0,AUDA,NW404,Maquassi Hills,Total Repairs and Maintenance Expenditure,North West
2013,1412290110.0,AUDA,TSH,City of Tshwane,Total Repairs and Maintenance Expenditure,North West
2013,0.0,AUDA,WC011,Matzikama,Total Repairs and Maintenance Expenditure,Gauteng
2013,5778000.0,AUDA,WC012,Cederberg,Total Repairs and Maintenance Expenditure,Western Cape
2013,465954.0,AUDA,WC013,Bergrivier,Total Repairs and Maintenance Expenditure,Western Cape
2013,27668607.0,AUDA,WC014,Saldanha Bay,Total Repairs and Maintenance Expenditure,Western Cape
2013,0.0,AUDA,WC015,Swartland,Total Repairs and Maintenance Expenditure,Western Cape
2013,13523900.0,AUDA,WC022,Witzenberg,Total Repairs and Maintenance Expenditure,Western Cape
2013,0.0,AUDA,WC023,Drakenstein,Total Repairs and Maintenance Expenditure,Western Cape
