,geo_level,geo_code,geoid,name,total,Do not know,Do not know-Female,Do not know-Male,Formal sector,Formal sector-Female,Formal sector-Male,Informal sector,Informal sector-Female,Informal sector-Male,Private household,Private household-Female,Private household-Male,province
118,municipality,LIM335,municipality-LIM335,Maruleng,1529,38,8,30,930,410,520,362,119,243,199,49,150,Limpopo
119,municipality,LIM341,municipality-LIM341,Musina,4961,157,67,90,2874,1152,1722,1340,459,881,590,233,357,Limpopo
120,municipality,LIM342,municipality-LIM342,Mutale,965,5,2,3,589,234,355,193,49,144,178,22,156,Limpopo
121,municipality,LIM343,municipality-LIM343,Thulamela,7159,93,23,70,3958,1725,2233,1935,459,1476,1173,284,889,Limpopo
122,municipality,LIM344,municipality-LIM344,Makhado,8197,158,59,99,4665,1971,2694,1985,516,1469,1389,374,1015,Limpopo
123,municipality,LIM351,municipality-LIM351,Blouberg,2398,37,14,23,1142,473,669,732,249,483,487,145,342,Limpopo
124,municipality,LIM353,municipality-LIM353,Molemole,1943,23,6,17,990,403,587,444,142,302,486,129,357,Limpopo
125,municipality,LIM354,municipality-LIM354,Polokwane,17100,411,129,282,11988,4982,7006,2498,770,1728,2203,794,1409,Limpopo
126,municipality,LIM355,municipality-LIM355,Lepele-Nkumpi,2491,40,17,23,1675,728,947,499,154,345,277,120,157,Limpopo
127,municipality,LIM361,municipality-LIM361,Thabazimbi,4488,166,39,127,3105,934,2171,630,168,462,587,146,441,Limpopo
128,municipality,LIM362,municipality-LIM362,Lephalale,5736,105,36,69,3894,1189,2705,881,258,623,856,291,565,Limpopo
129,municipality,LIM365,municipality-LIM365,Modimolle,2867,91,29,62,1989,744,1245,463,130,333,324,100,224,Limpopo
130,municipality,LIM366,municipality-LIM366,Bela-Bela,2632,108,43,65,1590,617,973,544,166,378,390,102,288,Eastern Cape
131,municipality,BUF,municipality-BUF,Buffalo City,18708,471,214,257,13706,6692,7014,2462,1079,1383,2069,1048,1021,Eastern Cape
132,municipality,EC101,municipality-EC101,Camdeboo,1755,62,14,48,1159,446,713,407,99,308,127,77,50,Eastern Cape
133,municipality,EC105,municipality-EC105,Ndlambe,1698,56,17,39,1161,506,655,269,101,168,212,94,118,Eastern Cape
134,municipality,EC122,municipality-EC122,Mnquma,2706,33,12,21,1758,839,919,532,216,316,383,182,201,Eastern Cape
