,Unnamed: 0,Name,Code,Province
225,241,Swartland Local Municipality,WC015,Western Cape
226,242,Swellendam Local Municipality,WC034,Western Cape
227,243,Thaba Chweu Local Municipality,MP321,Mpumalanga
228,244,Thabazimbi Local Municipality,LIM361,Limpopo
229,245,Theewaterskloof Local Municipality,WC031,Western Cape
230,246,Thembelihle Local Municipality,NC076,Northern Cape
231,247,Thembisile Hani Local Municipality,MP315,Mpumalanga
232,248,Thulamela Local Municipality,LIM343,Limpopo
233,249,Tokologo Local Municipality,FS182,Free State
234,250,Tsantsabane Local Municipality,NC085,Northern Cape
235,251,Tswaing Local Municipality,NW382,North West
236,252,Tswelopele Local Municipality,FS183,Free State
237,253,Ubuhlebezwe Local Municipality,KZN434,KwaZulu-Natal
238,254,Ubuntu Local Municipality,NC071,Northern Cape
239,255,Ulundi Local Municipality,KZN266,KwaZulu-Natal
240,256,Umdoni Local Municipality,KZN212,KwaZulu-Natal
241,257,uMfolozi Local Municipality,KZN281,KwaZulu-Natal
242,258,uMhlabuyalingana Local Municipality,KZN271,KwaZulu-Natal
243,259,uMhlathuze Local Municipality,KZN282,KwaZulu-Natal
244,260,uMlalazi Local Municipality,KZN284,KwaZulu-Natal
245,261,uMngeni Local Municipality,KZN222,KwaZulu-Natal
246,262,uMshwathi Local Municipality,KZN221,KwaZulu-Natal
247,263,Umsobomvu Local Municipality,NC072,Northern Cape
248,264,uMuziwabantu Local Municipality,KZN214,KwaZulu-Natal
249,265,Umvoti Local Municipality,KZN245,KwaZulu-Natal
250,266,Umzimkhulu Local Municipality,KZN435,KwaZulu-Natal
251,267,Umzimvubu Local Municipality,EC442,Eastern Cape
252,268,Umzumbe Local Municipality,KZN213,KwaZulu-Natal
253,269,uPhongolo Local Municipality,KZN262,KwaZulu-Natal
254,270,Victor Khanye Local Municipality,MP311,Mpumalanga
255,271,Walter Sisulu Local Municipality,EC145,Eastern Cape
256,272,Witzenberg Local Municipality,WC022,Western Cape
257,273,Camdeboo Local Municipality,EC101,Eastern Cape
258,274,Ikwezi Local Municipality,EC103,Eastern Cape
259,275,Baviaans Local Municipality,EC107,Eastern Cape
260,276,Nkonkobe Local Municipality,EC127,Eastern Cape
