geo_level,geo_code,geoid,name,total,Completed,Completed-Female,Completed-Male,Not completed,Not completed-Female,Not completed-Male
municipality,NC086,municipality-NC086,Kgatelopele,623,431,235,196,192,79,113
municipality,NC091,municipality-NC091,Sol Plaatjie,8564,6349,3384,2965,2215,857,1358
municipality,NC092,municipality-NC092,Dikgatlong,1653,1050,584,466,603,255,348
municipality,NC093,municipality-NC093,Magareng,859,607,310,297,252,109,143
municipality,NC451,municipality-NC451,Joe Morolong,3935,2087,1192,895,1848,754,1094
municipality,NC452,municipality-NC452,Ga-Segonyana,4003,2585,1458,1127,1418,590,828
municipality,NC453,municipality-NC453,Gamagara,1132,689,380,309,443,193,250
municipality,CPT,municipality-CPT,City of Cape Town,111539,86669,47194,39475,24870,10346,14524
municipality,WC011,municipality-WC011,Matzikama,2272,1280,689,591,992,443,549
municipality,WC013,municipality-WC013,Bergrivier,1868,1167,660,507,701,285,416
municipality,WC014,municipality-WC014,Saldanha Bay,3054,2223,1181,1042,831,337,494
municipality,WC015,municipality-WC015,Swartland,3424,2217,1222,995,1207,512,695
municipality,WC022,municipality-WC022,Witzenberg,3994,2753,1469,1284,1241,563,678
municipality,WC023,municipality-WC023,Drakenstein,8691,6369,3387,2982,2322,985,1337
municipality,WC025,municipality-WC025,Breede Valley,6050,4435,2402,2033,1615,701,914
municipality,WC026,municipality-WC026,Langeberg,3425,2128,1165,963,1297,524,773
municipality,WC031,municipality-WC031,Theewaterskloof,3471,2340,1281,1059,1131,465,666
municipality,WC032,municipality-WC032,Overstrand,1919,1284,726,558,635,291,344
municipality,WC034,municipality-WC034,Swellendam,1151,688,350,338,463,208,255
municipality,WC041,municipality-WC041,Kannaland,850,565,285,280,285,142,143
municipality,WC042,municipality-WC042,Hessequa,1596,1073,597,476,523,226,297
municipality,WC043,municipality-WC043,Mossel Bay,2551,1841,979,862,710,280,430
