geo_level,geo_code,geoid,name,total,Any tertiary,Any tertiary-Female,Any tertiary-Male,Grade 10/11,Grade 10/11-Female,Grade 10/11-Male,Grade 9,Grade 9-Female,Grade 9-Male,Less than Grade9,Less than Grade9-Female,Less than Grade9-Male,Matric/matric equivalent,Matric/matric equivalent-Female,Matric/matric equivalent-Male
municipality,KZN285,municipality-KZN285,Mthonjaneni,4326,76,43,33,1402,781,621,270,125,145,889,411,478,1689,977,712
municipality,KZN286,municipality-KZN286,Nkandla,9329,116,70,46,3112,1601,1511,442,186,256,1382,653,729,4277,2664,1613
municipality,KZN291,municipality-KZN291,Mandeni,14041,322,190,132,4537,2330,2207,877,390,487,1785,783,1002,6520,3506,3014
municipality,KZN293,municipality-KZN293,Ndwedwe,12214,188,117,71,3912,1928,1984,761,354,407,2014,909,1105,5339,3001,2338
municipality,KZN294,municipality-KZN294,Maphumulo,7702,128,90,38,2396,1304,1092,429,208,221,1184,612,572,3565,2172,1393
municipality,KZN431,municipality-KZN431,Ingwe,8680,121,69,52,3308,1723,1585,747,360,387,1459,668,791,3045,1732,1313
municipality,KZN432,municipality-KZN432,Kwa Sani,1293,23,13,10,394,182,212,108,47,61,321,105,216,447,235,212
municipality,KZN434,municipality-KZN434,Ubuhlebezwe,8841,154,100,54,2978,1519,1459,658,329,329,1594,702,892,3457,1870,1587
municipality,KZN435,municipality-KZN435,Umzimkhulu,15340,354,230,124,5941,3404,2537,1525,843,682,3375,1583,1792,4145,2482,1663
municipality,LIM331,municipality-LIM331,Greater Giyani,24995,645,421,224,9783,5208,4575,2319,1052,1267,3831,1826,2005,8417,4873,3544
municipality,LIM332,municipality-LIM332,Greater Letaba,21511,616,364,252,9200,4553,4647,1871,760,1111,2998,1247,1751,6826,3934,2892
municipality,LIM333,municipality-LIM333,Greater Tzaneen,39400,1249,763,486,15264,7554,7710,3554,1538,2016,6170,2552,3618,13163,7419,5744
municipality,LIM335,municipality-LIM335,Maruleng,9265,266,158,108,4091,2133,1958,931,389,542,1392,619,773,2585,1470,1115
municipality,LIM341,municipality-LIM341,Musina,7863,220,122,98,3083,1676,1407,845,458,387,1765,878,887,1950,1001,949
municipality,LIM342,municipality-LIM342,Mutale,8308,356,194,162,3399,1767,1632,920,434,486,1174,562,612,2459,1363,1096
municipality,LIM343,municipality-LIM343,Thulamela,61736,4419,2503,1916,23000,11558,11442,4674,2097,2577,7219,3331,3888,22424,12243,10181
municipality,LIM344,municipality-LIM344,Makhado,47303,2240,1277,963,19309,9767,9542,4372,1935,2437,5939,2569,3370,15443,8644,6799
municipality,LIM351,municipality-LIM351,Blouberg,14650,256,164,92,6563,3375,3188,1628,752,876,2323,1094,1229,3880,2287,1593
municipality,LIM353,municipality-LIM353,Molemole,9585,373,238,135,4128,2014,2114,876,337,539,1178,491,687,3030,1761,1269
municipality,LIM354,municipality-LIM354,Polokwane,67292,6170,3532,2638,21171,10205,10966,3941,1529,2412,5309,1994,3315,30701,17080,13621
municipality,LIM355,municipality-LIM355,Lepele-Nkumpi,19784,1041,627,414,7805,3838,3967,1719,691,1028,2051,868,1183,7168,4212,2956
municipality,LIM361,municipality-LIM361,Thabazimbi,8583,293,154,139,2794,1239,1555,706,306,400,1826,756,1070,2964,1417,1547
municipality,LIM362,municipality-LIM362,Lephalale,12910,986,474,512,4789,2198,2591,943,398,545,1817,733,1084,4375,2155,2220
municipality,LIM365,municipality-LIM365,Modimolle,6723,232,129,103,2153,1044,1109,584,277,307,1762,865,897,1992,1083,909
municipality,LIM366,municipality-LIM366,Bela-Bela,6371,245,139,106,2266,1111,1155,507,234,273,1273,563,710,2080,1073,1007
municipality,BUF,municipality-BUF,Buffalo City,68983,4781,2958,1823,24021,11893,12128,4262,1747,2515,7360,2827,4533,28559,15834,12725
municipality,EC101,municipality-EC101,Camdeboo,3789,138,90,48,1148,574,574,394,175,219,949,430,519,1160,604,556
municipality,EC105,municipality-EC105,Ndlambe,4668,123,75,48,1562,796,766,434,202,232,1247,501,746,1302,703,599
municipality,EC122,municipality-EC122,Mnquma,18134,709,438,271,7233,3762,3471,1909,830,1079,3320,1155,2165,4963,2922,2041
municipality,EC128,municipality-EC128,Nxuba,1788,47,24,23,709,334,375,236,121,115,408,174,234,388,215,173
municipality,EC135,municipality-EC135,Intsika Yethu,9659,195,119,76,3891,2000,1891,1138,518,620,2307,736,1571,2128,1203,925
municipality,EC144,municipality-EC144,Gariep,2763,44,19,25,881,409,472,307,142,165,950,435,515,581,304,277
municipality,EC157,municipality-EC157,King Sabata Dalindyebo,41875,1975,1241,734,15821,8807,7014,4134,2113,2021,8537,3622,4915,11408,6507,4901
municipality,NMA,municipality-NMA,Nelson Mandela Bay,108258,7540,4353,3187,34731,16916,17815,6689,2940,3749,12260,5086,7174,47038,25253,21785
municipality,FS164,municipality-FS164,Naledi,2215,37,24,13,746,411,335,308,152,156,478,253,225,646,319,327
municipality,FS191,municipality-FS191,Setsoto,10234,283,170,113,3704,1986,1718,1005,473,532,1774,891,883,3468,1883,1585
municipality,FS196,municipality-FS196,Mantsopa,4594,109,44,65,1460,761,699,512,258,254,882,452,430,1631,864,767
municipality,MAN,municipality-MAN,Mangaung,77345,7194,4102,3092,19825,9917,9908,4762,2164,2598,7979,3489,4490,37585,20068,17517
municipality,EKU,municipality-EKU,Ekurhuleni,329762,26626,14942,11684,93977,44520,49457,14521,6017,8504,29939,12018,17921,164699,84742,79957
municipality,GT422,municipality-GT422,Midvaal,8247,653,389,264,2528,1154,1374,510,190,320,1122,465,657,3434,1728,1706
municipality,GT484,municipality-GT484,Merafong City,18596,612,324,288,6241,3137,3104,1420,622,798,3034,1323,1711,7289,3773,3516
municipality,JHB,municipality-JHB,City of Johannesburg,464962,49238,27664,21574,119726,57944,61782,18577,7614,10963,39656,15754,23902,237765,124533,113232
municipality,TSH,municipality-TSH,City of Tshwane,307097,39929,22863,17066,70880,32768,38112,11635,4569,7066,23234,9402,13832,161419,85433,75986
municipality,ETH,municipality-ETH,eThekwini,377714,27443,15797,11646,94094,44989,49105,16279,7234,9045,32464,13922,18542,207434,108212,99222
municipality,KZN216,municipality-KZN216,Hibiscus Coast,23769,1198,697,501,7359,3782,3577,1541,738,803,3604,1571,2033,10067,5389,4678
municipality,KZN227,municipality-KZN227,Richmond,6041,129,63,66,1934,1028,906,399,195,204,1121,487,634,2458,1226,1232
