geo_level,geo_code,geoid,name,total,Income-poor,Income-poor-Black African,Income-poor-Black African-Female,Income-poor-Black African-Male,Income-poor-Coloured,Income-poor-Coloured-Female,Income-poor-Coloured-Male,Income-poor-Indian or Asian,Income-poor-Indian or Asian-Female,Income-poor-Indian or Asian-Male,Income-poor-Other,Income-poor-Other-Female,Income-poor-Other-Male,Income-poor-White,Income-poor-White-Female,Income-poor-White-Male,Non-poor,Non-poor-Black African,Non-poor-Black African-Female,Non-poor-Black African-Male,Non-poor-Coloured,Non-poor-Coloured-Female,Non-poor-Coloured-Male,Non-poor-Indian or Asian,Non-poor-Indian or Asian-Female,Non-poor-Indian or Asian-Male,Non-poor-Other,Non-poor-Other-Female,Non-poor-Other-Male,Non-poor-White,Non-poor-White-Female,Non-poor-White-Male
municipality,ETH,municipality-ETH,eThekwini,583823,306635,284260,151789,132471,3450,1781,1669,17512,8644,8868,641,303,338,772,386,386,277188,177551,86048,91503,9862,5063,4799,70183,35035,35148,1369,587,782,18223,8941,9282
municipality,KZN216,municipality-KZN216,Hibiscus Coast,43606,28543,27869,14788,13081,166,83,83,369,172,197,17,5,12,122,48,74,15063,11510,5630,5880,443,231,212,1519,763,756,56,29,27,1535,755,780
municipality,KZN227,municipality-KZN227,Richmond,11544,9232,9127,4799,4328,54,29,25,28,12,16,8,6,2,15,10,5,2312,2098,895,1203,48,25,23,82,31,51,13,3,10,71,28,43
municipality,KZN241,municipality-KZN241,Endumeni,11394,7224,6886,3591,3295,143,75,68,156,84,72,12,5,7,27,8,19,4170,3178,1484,1694,157,81,76,410,208,202,16,8,8,409,206,203
municipality,KZN253,municipality-KZN253,Emadlangeni,5900,5049,5001,2472,2529,33,21,12,2,1,1,1,1,0,12,7,5,851,714,276,438,30,17,13,2,2,0,2,1,1,103,52,51
municipality,KZN271,municipality-KZN271,Umhlabuyalingana,30814,27300,27246,14285,12961,13,5,8,21,9,12,13,5,8,7,3,4,3514,3482,1843,1639,3,3,0,4,2,2,8,2,6,17,10,7
municipality,KZN282,municipality-KZN282,uMhlathuze,60266,33556,33049,17778,15271,112,55,57,256,142,114,30,10,20,109,58,51,26710,21857,11165,10692,375,183,192,1797,922,875,64,25,39,2617,1281,1336
municipality,KZN292,municipality-KZN292,KwaDukuza,40538,24127,22713,12437,10276,147,78,69,1108,567,541,142,61,81,17,11,6,16411,11312,5272,6040,242,123,119,3959,1921,2038,120,33,87,778,411,367
municipality,KZN433,municipality-KZN433,Greater Kokstad,11572,7057,6704,3681,3023,337,158,179,6,1,5,4,0,4,6,5,1,4515,3668,1814,1854,600,310,290,65,30,35,20,7,13,162,78,84
municipality,LIM334,municipality-LIM334,Ba-Phalaborwa,26960,18116,18045,9500,8545,27,12,15,10,7,3,1,0,1,33,17,16,8844,7972,3970,4002,33,18,15,35,11,24,14,5,9,790,401,389
municipality,LIM352,municipality-LIM352,Aganang,24556,20968,20914,10802,10112,5,1,4,8,0,8,32,7,25,9,5,4,3588,3559,1635,1924,1,1,0,13,0,13,8,1,7,7,5,2
municipality,LIM364,municipality-LIM364,Mookgopong,5461,3360,3297,1738,1559,6,2,4,1,1,0,20,5,15,36,17,19,2101,1857,757,1100,13,9,4,10,1,9,9,2,7,212,93,119
municipality,LIM367,municipality-LIM367,Mogalakwena,56269,44260,44111,23136,20975,34,19,15,37,10,27,30,11,19,48,28,20,12009,10868,5218,5650,29,8,21,213,85,128,59,10,49,840,428,412
municipality,LIM471,municipality-LIM471,Ephraim Mogale,22165,18496,18431,9644,8787,10,5,5,21,9,12,17,5,12,17,9,8,3669,3456,1495,1961,3,1,2,35,7,28,22,6,16,153,76,77
municipality,LIM472,municipality-LIM472,Elias Motsoaledi,46607,38367,38248,20122,18126,30,15,15,40,19,21,32,7,25,17,9,8,8240,7799,3627,4172,13,7,6,74,6,68,42,6,36,312,160,152
municipality,LIM473,municipality-LIM473,Makhuduthamaga,50717,44787,44716,23406,21310,7,3,4,38,24,14,11,3,8,15,9,6,5930,5828,2800,3028,10,2,8,62,7,55,27,8,19,3,2,1
municipality,LIM474,municipality-LIM474,Fetakgomo,16767,13313,13293,6990,6303,3,3,0,7,3,4,9,1,8,1,1,0,3454,3385,1659,1726,1,1,0,12,0,12,10,1,9,46,30,16
municipality,LIM475,municipality-LIM475,Greater Tubatse,62024,45916,45799,24178,21621,42,17,25,37,20,17,16,7,9,22,13,9,16108,15512,7558,7954,41,25,16,49,20,29,22,5,17,484,229,255
municipality,MP301,municipality-MP301,Albert Luthuli,36725,29527,29331,15686,13645,67,28,39,57,15,42,30,11,19,42,14,28,7198,6800,3265,3535,32,13,19,97,21,76,43,9,34,226,110,116
municipality,MP302,municipality-MP302,Msukaligwa,25492,15434,15220,8142,7078,52,35,17,50,17,33,22,7,15,90,51,39,10058,8117,3860,4257,65,37,28,189,71,118,53,16,37,1634,801,833
municipality,MP304,municipality-MP304,Pixley Ka Seme,14007,10779,10652,5702,4950,42,16,26,17,12,5,5,0,5,63,33,30,3228,2476,1166,1310,36,17,19,128,56,72,16,5,11,572,280,292
municipality,MP305,municipality-MP305,Lekwa,18914,11069,10756,5613,5143,202,106,96,19,4,15,14,2,12,78,36,42,7845,5739,2634,3105,357,182,175,168,79,89,33,5,28,1548,766,782
municipality,MP306,municipality-MP306,Dipaleseng,6733,4331,4245,2214,2031,9,5,4,5,4,1,5,1,4,67,34,33,2402,2015,944,1071,8,3,5,33,12,21,6,1,5,340,152,188
municipality,MP307,municipality-MP307,Govan Mbeki,47002,22090,21621,11219,10402,119,55,64,62,33,29,60,24,36,228,117,111,24912,18755,8377,10378,539,262,277,606,283,323,105,24,81,4907,2466,2441
municipality,MP312,municipality-MP312,Emalahleni,65229,26291,25481,13138,12343,367,167,200,59,15,44,80,26,54,304,152,152,38938,30180,14116,16064,780,399,381,447,188,259,173,26,147,7358,3640,3718
municipality,MP313,municipality-MP313,Steve Tshwete,35174,13329,12729,6728,6001,243,135,108,53,27,26,33,13,20,271,134,137,21845,15078,6841,8237,763,388,375,458,189,269,98,22,76,5448,2651,2797
municipality,MP314,municipality-MP314,Emakhazeni,7371,4371,4221,2252,1969,44,21,23,23,9,14,1,0,1,82,35,47,3000,2527,1143,1384,63,37,26,37,12,25,3,0,3,370,184,186
municipality,MP315,municipality-MP315,Thembisile,58955,44074,43786,23191,20595,93,49,44,121,58,63,51,7,44,23,12,11,14881,14636,6987,7649,37,23,14,135,18,117,57,7,50,16,7,9
municipality,MP316,municipality-MP316,Dr JS Moroka,46435,36685,36554,19162,17392,43,18,25,56,19,37,22,1,21,10,5,5,9750,9611,4526,5085,19,12,7,83,7,76,30,1,29,7,0,7
municipality,MP321,municipality-MP321,Thaba Chweu,14594,7443,7183,3750,3433,158,87,71,11,7,4,16,8,8,75,31,44,7151,5411,2457,2954,223,116,107,70,25,45,92,22,70,1355,672,683
municipality,MP323,municipality-MP323,Umjindi,10774,5945,5826,3207,2619,65,42,23,10,5,5,5,0,5,39,23,16,4829,3872,1822,2050,152,86,66,87,40,47,10,2,8,708,341,367
municipality,MP324,municipality-MP324,Nkomazi,78700,60533,60255,32223,28032,108,66,42,85,40,45,40,16,24,45,27,18,18167,17412,8309,9103,83,34,49,205,42,163,40,11,29,427,198,229
municipality,MP325,municipality-MP325,Bushbuckridge,110404,92786,92592,49267,43325,94,49,45,50,19,31,20,5,15,30,12,18,17618,17380,8656,8724,41,25,16,79,4,75,35,4,31,83,41,42
municipality,NW371,municipality-NW371,Moretele,30619,23114,23046,12220,10826,43,17,26,7,3,4,14,1,13,4,3,1,7505,7398,3455,3943,8,3,5,30,3,27,33,1,32,36,18,18
municipality,NW372,municipality-NW372,Madibeng,73736,39034,38320,20348,17972,311,185,126,70,24,46,92,38,54,241,120,121,34702,29529,13016,16513,313,154,159,324,99,225,170,42,128,4366,2128,2238
municipality,NW374,municipality-NW374,Kgetlengrivier,7379,4874,4632,2502,2130,107,58,49,13,9,4,24,12,12,98,44,54,2505,1628,578,1050,39,9,30,56,21,35,24,7,17,758,345,413
municipality,NW375,municipality-NW375,Moses Kotane,36320,23388,23285,12324,10961,35,20,15,28,10,18,25,9,16,15,7,8,12932,12562,5803,6759,50,26,24,125,35,90,50,12,38,145,64,81
municipality,NW381,municipality-NW381,Ratlou,17346,15528,15351,8229,7122,141,76,65,13,1,12,18,9,9,5,5,0,1818,1669,738,931,25,5,20,40,6,34,11,1,10,73,31,42
municipality,NW382,municipality-NW382,Tswaing,21226,17867,17468,9310,8158,329,150,179,6,3,3,11,8,3,53,30,23,3359,2517,1083,1434,43,12,31,52,4,48,37,4,33,710,350,360
municipality,NW383,municipality-NW383,Mafikeng,50753,32704,32124,17094,15030,428,208,220,85,28,57,20,5,15,47,32,15,18049,16676,8371,8305,683,310,373,301,124,177,59,18,41,330,167,163
municipality,NW385,municipality-NW385,Ramotshere Moiloa,23460,18345,18103,9575,8528,114,43,71,43,18,25,23,7,16,62,27,35,5115,4357,1994,2363,91,52,39,107,43,64,50,18,32,510,238,272
