,mun_code,mun_name,province,Adult_emp,overcrowding,empSector,difficulty,typeDwelling,circumstance_measure
50,EC443,Mbizana,Free State,0.24067164179104478,0.6200357156721923,0.6763884579584238,0.9156426315116768,0.3980593806286677,0.5701595655124011
51,EC444,Ntabankulu,Free State,0.1888647978937587,0.6629371788496602,0.7832469775474957,0.9160618362242178,0.21821100728604947,0.5538643595602365
52,FS161,Letsemeng,Free State,0.6249434474438245,0.9047976011994003,0.5408299866131191,0.8811077510743276,0.863528009535161,0.7630413591731666
53,FS162,Kopanong,Free State,0.5539001937984496,0.8820231566118221,0.5120772946859904,0.8601831549077776,0.9284509756685136,0.7473269551345108
54,FS163,Mohokare,Free State,0.5038796516231195,0.8279773156899811,0.5214953271028038,0.8652073732718895,0.8599312929419113,0.7156981921259411
55,FS181,Masilonyana,Free State,0.49109957352123124,0.8426032110091743,0.5992932862190813,0.8355813724524959,0.8364437775485323,0.721004244150103
56,FS182,Tokologo,Free State,0.5524489795918367,0.84289225727161,0.5704295704295704,0.8400511836212412,0.8444309927360775,0.7300505967300672
57,FS183,Tswelopele,Free State,0.5383036935704515,0.8440518256772673,0.6774668630338734,0.8445085316029801,0.7979491959916103,0.7404560219752366
58,FS184,Matjhabeng,Free State,0.5961954861249485,0.8936995021627356,0.7424605074198181,0.853646778584392,0.8067275490578473,0.7785459646699483
59,FS185,Nala,Free State,0.5259133964817321,0.92343974297628,0.6414115204981837,0.8301995533463007,0.7857191064318013,0.7413366639468597
60,FS192,Dihlabeng,Free State,0.6318765834238147,0.8248188488356195,0.7466487935656837,0.8816801139060275,0.7545663644973617,0.7679181408457015
61,FS193,Nketoana,Free State,0.5549991057055983,0.8274147727272727,0.7154861944777912,0.8831940575673166,0.709600634752711,0.738138953046138
62,FS194,Maluti a Phofung,Free State,0.41647424325118604,0.9264469898185037,0.6673296867230234,0.8589787196285178,0.8256505576208178,0.7389760394084098
63,FS195,Phumelela,Free State,0.596633844744676,0.9022333637192342,0.7669074195666448,0.8790791503500652,0.7256826901376664,0.7741072937036574
64,FS201,Moqhaka,Free State,0.5899640755178476,0.9268461272608579,0.6359247967479674,0.8545379367376473,0.8795336787564767,0.7773613230041594
65,FS203,Ngwathe,Free State,0.5438150510815867,0.9310675883256528,0.6775523145212429,0.862607980255039,0.8056150368784202,0.7641315942123884
66,FS204,Metsimaholo,Gauteng,0.6843495321460912,0.9449328832718423,0.7767332549941246,0.8778796236210253,0.8727279655527188,0.8313246519171605
67,FS205,Mafube,Gauteng,0.52708941863752,0.9191448931116389,0.589541547277937,0.8801632328058127,0.7183350597984745,0.7268548303262765
68,GT421,Emfuleni,Gauteng,0.6377904517408871,0.8918403911267669,0.7771972956361402,0.8869414606241658,0.8851164981050837,0.8157772194466087
69,GT423,Lesedi,Gauteng,0.7432336182336182,0.9326052853867504,0.7294205421536931,0.899009900990099,0.8724940334128878,0.8353526760354097
70,GT481,Mogale City,Gauteng,0.7748975241842925,0.8439961575408261,0.723866124491711,0.9011791229043282,0.795279318274043,0.8078436494790403
71,GT482,Randfontein,KwaZulu-Natal,0.7657070647237689,0.8425580606882522,0.7733795150915388,0.8960582690659812,0.8431773594356555,0.8241760538010393
72,GT483,Westonaria,KwaZulu-Natal,0.6819955964771818,0.7208670671193523,0.7533087437622044,0.8893930496983932,0.6436292842871049,0.7378387482688473
73,KZN211,Vulamehlo,KwaZulu-Natal,0.2807129623714304,0.7320941445156379,0.6994350282485876,0.862450925406618,0.29873594613479004,0.5746858013354128
74,KZN212,Umdoni,KwaZulu-Natal,0.5557749931898666,0.8070406887932232,0.7229965156794426,0.8841211392500188,0.7228111233480177,0.7385488920521138
75,KZN213,Umzumbe,KwaZulu-Natal,0.2899596429008194,0.7187528242205151,0.6820877817319099,0.8868219633943427,0.48587774766636554,0.6126999919827907
76,KZN214,UMuziwabantu,KwaZulu-Natal,0.34757068896853843,0.8040410043084237,0.7454337899543378,0.8964397792446704,0.4268388877933346,0.6440648300538611
77,KZN215,Ezingoleni,KwaZulu-Natal,0.35456515594082727,0.6427506522549385,0.6747448979591837,0.930884245964947,0.610608744290109,0.6427107392820012
78,KZN221,uMshwathi,KwaZulu-Natal,0.46570380559376434,0.8282077021354262,0.6477093206951027,0.9065439364217092,0.5437295231161267,0.6783788575924259
79,KZN222,uMngeni,KwaZulu-Natal,0.713277289353783,0.8471255826521651,0.7640636126275813,0.8584525628559523,0.848624154462468,0.80630864039039
80,KZN223,Mpofana,KwaZulu-Natal,0.5889212827988338,0.8210930828351836,0.6339869281045751,0.9004796163069544,0.6715513597294631,0.723206453955002
81,KZN224,Impendle,KwaZulu-Natal,0.2231578947368421,0.9386882829771555,0.7543859649122807,0.8930857874519846,0.39850724425581735,0.641565034866816
82,KZN225,The Msunduzi,KwaZulu-Natal,0.6133538735963028,0.870886390974325,0.7580866083658202,0.8907943625301716,0.7054278808733767,0.7677098232679993
83,KZN226,Mkhambathini,KwaZulu-Natal,0.5063686613794761,0.7927560366361366,0.663013698630137,0.888752088646557,0.3467968879324615,0.6395374746449538
84,KZN232,Emnambithi/Ladysmith,KwaZulu-Natal,0.5440271542757035,0.8284877318179816,0.7651781234320121,0.8952280668166371,0.7555273689505106,0.757689689058569
85,KZN233,Indaka,KwaZulu-Natal,0.18093194645272634,0.6536238532110091,0.8442857142857143,0.90796675451044,0.586539344412818,0.6346695225745416
86,KZN234,Umtshezi,KwaZulu-Natal,0.4369763779527559,0.7585837585837586,0.7506172839506173,0.8858339148639218,0.6139878529835326,0.6891998376669173
87,KZN235,Okhahlamba,KwaZulu-Natal,0.32903872859126676,0.7686847923050072,0.6930330015715034,0.9129086925970322,0.3671571829254236,0.6141644795980467
88,KZN236,Imbabazane,KwaZulu-Natal,0.3560371517027864,0.8092429540379997,0.79764121663563,0.898037000423669,0.5823556620831757,0.6886627969766521
