,geo_code,name,total,less_1km,less_1km_Female,less_1km_Male,more_1km,more_1km_Female,more_1km_Male,No_piped_water,No_piped_water_Female,No_piped_water_Male,On_site,On_site_Female,On_site_Male,province
225,WC022,Witzenberg,22175,1432,728,704,3,2,1,70,32,38,20670,9745,10925,Western Cape
226,WC023,Drakenstein,48376,2392,1200,1192,29,13,16,553,276,277,45402,22448,22954,Western Cape
227,WC025,Breede Valley,30627,2554,1383,1171,53,28,25,334,188,146,27686,13829,13857,Western Cape
228,WC026,Langeberg,17124,851,434,417,14,8,6,90,34,56,16169,8138,8031,Western Cape
229,WC031,Theewaterskloof,19056,2136,1064,1072,149,71,78,190,89,101,16581,8060,8521,Western Cape
230,WC032,Overstrand,11591,1534,724,810,5,4,1,52,23,29,10000,5155,4845,Western Cape
231,WC034,Swellendam,6097,403,161,242,10,3,7,62,34,28,5622,2754,2868,Western Cape
232,WC041,Kannaland,4223,206,110,96,5,5,0,159,71,88,3853,1908,1945,Western Cape
233,WC042,Hessequa,7651,229,118,111,7,3,4,138,72,66,7277,3717,3560,Western Cape
234,WC043,Mossel Bay,13802,901,479,422,12,7,5,341,170,171,12548,6416,6132,Western Cape
