,geo_level,geo_code,geoid,name,total,Non-overcrowded,Non-overcrowded-Female,Non-overcrowded-Male,Overcrowded,Overcrowded-Female,Overcrowded-Male
158,municipality,LIM334,municipality-LIM334,Ba-Phalaborwa,29766,26521,13302,13219,3245,1884,1361
159,municipality,LIM352,municipality-LIM352,Aganang,27380,25508,12519,12989,1872,1038,834
160,municipality,LIM364,municipality-LIM364,Mookgopong,5425,4847,2301,2546,578,318,260
161,municipality,LIM367,municipality-LIM367,Mogalakwena,63182,57187,28482,28705,5995,3342,2653
162,municipality,LIM471,municipality-LIM471,Ephraim Mogale,24958,22416,10974,11442,2542,1370,1172
163,municipality,LIM472,municipality-LIM472,Elias Motsoaledi,51155,47002,23471,23531,4153,2305,1848
164,municipality,LIM473,municipality-LIM473,Makhuduthamaga,56018,50977,25698,25279,5041,2781,2260
165,municipality,LIM474,municipality-LIM474,Fetakgomo,19131,17866,9079,8787,1265,716,549
166,municipality,LIM475,municipality-LIM475,Greater Tubatse,70419,64345,32402,31943,6074,3446,2628
167,municipality,MP301,municipality-MP301,Albert Luthuli,41027,37928,19195,18733,3099,1776,1323
168,municipality,MP302,municipality-MP302,Msukaligwa,27764,24960,12435,12525,2804,1595,1209
169,municipality,MP304,municipality-MP304,Pixley Ka Seme,15712,13515,6753,6762,2197,1248,949
170,municipality,MP305,municipality-MP305,Lekwa,20240,18517,9001,9516,1723,932,791
171,municipality,MP306,municipality-MP306,Dipaleseng,7410,6827,3305,3522,583,349,234
172,municipality,MP307,municipality-MP307,Govan Mbeki,52896,47581,22616,24965,5315,2893,2422
173,municipality,MP312,municipality-MP312,Emalahleni,72793,66994,32098,34896,5799,3182,2617
174,municipality,MP313,municipality-MP313,Steve Tshwete,38362,34841,16784,18057,3521,1936,1585
175,municipality,MP314,municipality-MP314,Emakhazeni,8187,7364,3616,3748,823,451,372
176,municipality,MP315,municipality-MP315,Thembisile,64083,59504,29830,29674,4579,2589,1990
177,municipality,MP316,municipality-MP316,Dr JS Moroka,51658,48472,23929,24543,3186,1825,1361
178,municipality,MP321,municipality-MP321,Thaba Chweu,15912,14551,6993,7558,1361,766,595
179,municipality,MP323,municipality-MP323,Umjindi,11486,10334,5214,5120,1152,649,503
180,municipality,MP324,municipality-MP324,Nkomazi,90440,80190,40706,39484,10250,5661,4589
181,municipality,MP325,municipality-MP325,Bushbuckridge,125287,115727,58708,57019,9560,5592,3968
182,municipality,NW371,municipality-NW371,Moretele,34846,31521,15551,15970,3325,1837,1488
183,municipality,NW372,municipality-NW372,Madibeng,83702,72434,34249,38185,11268,6300,4968
184,municipality,NW374,municipality-NW374,Kgetlengrivier,8038,7023,3334,3689,1015,566,449
185,municipality,NW375,municipality-NW375,Moses Kotane,42135,37181,18116,19065,4954,2711,2243
186,municipality,NW381,municipality-NW381,Ratlou,19577,15997,8013,7984,3580,1983,1597
187,municipality,NW382,municipality-NW382,Tswaing,22948,17849,8727,9122,5099,2881,2218
188,municipality,NW383,municipality-NW383,Mafikeng,55928,47783,24110,23673,8145,4553,3592
189,municipality,NW385,municipality-NW385,Ramotshere Moiloa,25663,21025,10354,10671,4638,2555,2083
190,municipality,NW392,municipality-NW392,Naledi,11084,8899,4353,4546,2185,1259,926
191,municipality,NW393,municipality-NW393,Mamusa,10855,8961,4412,4549,1894,1049,845
192,municipality,NW394,municipality-NW394,Greater Taung,33170,28491,14186,14305,4679,2752,1927
193,municipality,NW397,municipality-NW397,Kagisano/Molopo,18289,14629,7306,7323,3660,2191,1469
194,municipality,NW401,municipality-NW401,Ventersdorp,9705,7883,3862,4021,1822,995,827
195,municipality,NW402,municipality-NW402,Tlokwe City Council,30812,28760,14667,14093,2052,1091,961
196,municipality,NW403,municipality-NW403,City of Matlosana,68013,59927,29705,30222,8086,4454,3632
197,municipality,NW404,municipality-NW404,Maquassi Hills,13520,12204,6093,6111,1316,739,577
198,municipality,NC061,municipality-NC061,Richtersveld,1679,1538,725,813,141,64,77
199,municipality,NC064,municipality-NC064,Kamiesberg,1272,1118,512,606,154,78,76
200,municipality,NC065,municipality-NC065,Hantam,3259,2528,1211,1317,731,390,341
201,municipality,NC066,municipality-NC066,Karoo Hoogland,1543,1221,616,605,322,176,146
202,municipality,NC067,municipality-NC067,Khâi-Ma,2112,1662,763,899,450,211,239
203,municipality,NC072,municipality-NC072,Umsobomvu,4708,3919,1902,2017,789,451,338
204,municipality,NC073,municipality-NC073,Emthanjeni,6938,5753,2907,2846,1185,640,545
205,municipality,NC074,municipality-NC074,Kareeberg,1667,1296,676,620,371,205,166
206,municipality,NC075,municipality-NC075,Renosterberg,1635,1389,659,730,246,116,130
207,municipality,NC076,municipality-NC076,Thembelihle,2672,2039,978,1061,633,363,270
208,municipality,NC078,municipality-NC078,Siyancuma,6091,4894,2433,2461,1197,655,542
209,municipality,NC081,municipality-NC081,Mier,1120,887,436,451,233,123,110
210,municipality,NC082,municipality-NC082,Kai !Garib,10546,8186,3888,4298,2360,1147,1213
211,municipality,NC083,municipality-NC083,//Khara Hais,16268,13548,6782,6766,2720,1431,1289
212,municipality,NC084,municipality-NC084,!Kheis,2446,1673,807,866,773,418,355
213,municipality,NC086,municipality-NC086,Kgatelopele,3251,2838,1366,1472,413,223,190
214,municipality,NC091,municipality-NC091,Sol Plaatjie,42108,37171,18603,18568,4937,2733,2204
215,municipality,NC092,municipality-NC092,Dikgatlong,7848,6598,3262,3336,1250,707,543
216,municipality,NC093,municipality-NC093,Magareng,4319,3788,1844,1944,531,275,256
217,municipality,NC451,municipality-NC451,Joe Morolong,15974,13362,6792,6570,2612,1524,1088
218,municipality,NC452,municipality-NC452,Ga-Segonyana,17468,14631,7176,7455,2837,1585,1252
219,municipality,NC453,municipality-NC453,Gamagara,6589,5492,2655,2837,1097,547,550
220,municipality,CPT,municipality-CPT,City of Cape Town,618278,534614,270147,264467,83664,46696,36968
221,municipality,WC011,municipality-WC011,Matzikama,11141,8086,3986,4100,3055,1602,1453
222,municipality,WC013,municipality-WC013,Bergrivier,9188,7209,3611,3598,1979,1069,910
223,municipality,WC014,municipality-WC014,Saldanha Bay,16405,13576,6662,6914,2829,1498,1331
224,municipality,WC015,municipality-WC015,Swartland,17662,13703,6790,6913,3959,2121,1838
225,municipality,WC022,municipality-WC022,Witzenberg,18893,15411,7567,7844,3482,1891,1591
226,municipality,WC023,municipality-WC023,Drakenstein,42133,34803,17243,17560,7330,3980,3350
227,municipality,WC025,municipality-WC025,Breede Valley,28471,23385,11869,11516,5086,2841,2245
228,municipality,WC026,municipality-WC026,Langeberg,16484,12280,6106,6174,4204,2223,1981
229,municipality,WC031,municipality-WC031,Theewaterskloof,17822,14759,7153,7606,3063,1592,1471
230,municipality,WC032,municipality-WC032,Overstrand,10265,8315,4170,4145,1950,1067,883
231,municipality,WC034,municipality-WC034,Swellendam,5773,4690,2228,2462,1083,543,540
232,municipality,WC041,municipality-WC041,Kannaland,4009,2943,1435,1508,1066,562,504
233,municipality,WC042,municipality-WC042,Hessequa,7502,6402,3259,3143,1100,573,527
234,municipality,WC043,municipality-WC043,Mossel Bay,11866,9740,4920,4820,2126,1218,908
