,geo_code,name,province,total,0-14,15-24,25-34,35-44,45-54,55-64
69,GT423,Lesedi,Gauteng,98666,0.26082946506395316,0.1793221575821458,0.1891127642754343,0.14152798329718444,0.10301420955546997,0.06947682078932965
70,GT481,Mogale City,Gauteng,357916,0.23800277160004024,0.181659942556354,0.20630539009152984,0.15210272801439445,0.10896970238826988,0.0662976787849663
71,GT482,Randfontein,Gauteng,147743,0.2493992947212389,0.17336861983308854,0.1858768266516857,0.14804762323764917,0.12062161997522726,0.07189511516620077
72,GT483,Westonaria,KwaZulu-Natal,111058,0.24751030992814566,0.18200399791100147,0.22334275783824667,0.15680095085450846,0.12094581209818293,0.04575086891534153
73,KZN211,Vulamehlo,KwaZulu-Natal,75018,0.3640859527046842,0.21444186728518488,0.11641206110533472,0.08813884667679757,0.08587272387960222,0.06378469167399824
74,KZN212,Umdoni,KwaZulu-Natal,77499,0.26566794410250455,0.19804126504858127,0.1664666640859882,0.11964025342262481,0.09780771364791804,0.0718847985135292
75,KZN213,Umzumbe,KwaZulu-Natal,156738,0.36633107478722454,0.21549337110336997,0.11471372609067361,0.08507828350495732,0.08146716176038996,0.06554887774502673
76,KZN214,UMuziwabantu,KwaZulu-Natal,94545,0.4039769421968375,0.21779047014649108,0.11710825532815061,0.08562060394521127,0.07155322862129145,0.050018509704373576
77,KZN215,Ezingoleni,KwaZulu-Natal,51352,0.37318897024458636,0.21629147842343044,0.1250389468764605,0.08753310484499144,0.07810796074154852,0.05898504439943916
78,KZN221,uMshwathi,KwaZulu-Natal,103239,0.3259039703987834,0.21693352318406803,0.14746365230194017,0.10383672836815544,0.08595588876296749,0.0643942696074158
79,KZN222,uMngeni,KwaZulu-Natal,89663,0.24772760224395793,0.1940376744030425,0.17559082341657095,0.13498321492700446,0.09143124811795278,0.07068690541248898
80,KZN223,Mpofana,KwaZulu-Natal,36796,0.30957169257527994,0.20494075442982934,0.17972062180671813,0.11843678660723991,0.08288944450483748,0.06122948146537667
81,KZN224,Impendle,KwaZulu-Natal,32405,0.37466440364141335,0.21160314766239777,0.11081623206295325,0.07921617034408271,0.078413825027002,0.0757290541583089
82,KZN225,The Msunduzi,KwaZulu-Natal,605804,0.26782589748499513,0.2145545423932493,0.17667925599698914,0.12937517745013238,0.09225591115278209,0.06633333553426521
83,KZN226,Mkhambathini,KwaZulu-Natal,60263,0.31385759089325127,0.21494117451836117,0.16432968820005642,0.10880639861938503,0.08268755289315169,0.063770472761064
84,KZN232,Emnambithi/Ladysmith,KwaZulu-Natal,229430,0.33263304711676767,0.20279388048642288,0.16166586758488427,0.10904415290066687,0.08605239070740531,0.06021008586496971
85,KZN233,Indaka,KwaZulu-Natal,99830,0.42531303215466293,0.21930281478513472,0.10550936592206751,0.07069017329460082,0.06629269758589602,0.05518381248121807
86,KZN234,Umtshezi,KwaZulu-Natal,81182,0.3496464733561627,0.20130078096129683,0.1525338129141928,0.11040624769037471,0.08306028429947525,0.05911408933014708
87,KZN235,Okhahlamba,KwaZulu-Natal,127235,0.3905607733721067,0.20881046881754234,0.12982276889220734,0.08984163162651786,0.07058592368452077,0.05833300585530711
88,KZN236,Imbabazane,KwaZulu-Natal,109733,0.3720849698814395,0.2183208332953624,0.13491839282622364,0.0882414588136659,0.07530095777933712,0.06139447568188239
89,KZN242,Nqutu,KwaZulu-Natal,158562,0.41788070281656386,0.2224366493863599,0.11054981647557423,0.07476570678977308,0.06552641868795803,0.0536194043970182
90,KZN244,Msinga,KwaZulu-Natal,173949,0.43542647557617464,0.2096534041586902,0.10146077298518531,0.07626373247331114,0.06355885920585919,0.055154096890467894
91,KZN245,Umvoti,KwaZulu-Natal,100874,0.35897257965382556,0.21231437238535203,0.1340087634078157,0.09734916826932609,0.08176537066042786,0.059460316830897954
92,KZN252,Newcastle,KwaZulu-Natal,349422,0.3214651624683048,0.21889577645368638,0.15494445112213884,0.10659889760804986,0.08631683179650966,0.06393129224834154
93,KZN254,Dannhauser,KwaZulu-Natal,96868,0.3706177478630714,0.22513110624767727,0.12763760994342818,0.08255564273031342,0.07552545732336788,0.06320972870297725
94,KZN261,eDumbe,KwaZulu-Natal,77744,0.393843897921383,0.2191809014200453,0.12705803663305207,0.0831832681621733,0.07264869314673801,0.05057625025725458
95,KZN262,UPhongolo,KwaZulu-Natal,121320,0.38670458292120014,0.23195680844048797,0.1383201450708869,0.08510550609957138,0.06608143752060666,0.045408836135839105
96,KZN263,Abaqulusi,KwaZulu-Natal,200422,0.36367764017922183,0.21898793545618744,0.14109728472922134,0.09284409895121294,0.07721208250591252,0.05616149923661075
97,KZN265,Nongoma,KwaZulu-Natal,184950,0.410235198702352,0.23827520951608544,0.1116896458502298,0.07225195998918627,0.06433090024330901,0.05062449310624493
