,geo_code,name,province,total,prop_yes,prop_no
103,KZN281,Mfolozi,KwaZulu-Natal,26388,0.9863574351978172,0.005078065787479157
104,KZN283,Ntambanana,KwaZulu-Natal,16530,0.9900786448880823,0.0023593466424682396
105,KZN284,uMlalazi,KwaZulu-Natal,45337,0.9879568564307298,0.006528883693230694
106,KZN285,Mthonjaneni,KwaZulu-Natal,9718,0.9881662893599507,0.009158263017081704
107,KZN286,Nkandla,KwaZulu-Natal,24302,0.9953913258168052,0.001645955065426714
108,KZN291,Mandeni,KwaZulu-Natal,29135,0.9833533550712202,0.012905440192208684
109,KZN293,Ndwedwe,KwaZulu-Natal,29554,0.9936725993097381,0.002470054814915071
110,KZN294,Maphumulo,KwaZulu-Natal,20652,0.991719930273097,0.002178965717606043
111,KZN431,Ingwe,KwaZulu-Natal,20904,0.9921546115575967,0.0044010715652506695
112,KZN432,Kwa Sani,KwaZulu-Natal,2258,0.9858281665190434,0.010186005314437556
113,KZN434,Ubuhlebezwe,KwaZulu-Natal,21054,0.9923055001424907,0.003229790063645863
114,KZN435,Umzimkhulu,Limpopo,39335,0.9915088343714249,0.002389729248760646
