,municipality,province,Black,Coloured,Indian_Asian,White,Other
198,NC061,North West,210,1456,8,79,19
199,NC064,Northern Cape,105,1441,8,41,9
200,NC065,Northern Cape,144,3087,20,175,19
201,NC066,Northern Cape,141,1503,26,88,7
202,NC067,Northern Cape,589,1566,9,75,21
203,NC072,Northern Cape,3191,1493,20,120,44
204,NC073,Northern Cape,2412,4457,43,374,36
205,NC074,Northern Cape,103,1681,7,74,6
206,NC075,Northern Cape,604,1043,12,64,4
207,NC076,Northern Cape,441,2025,14,261,14
208,NC078,Northern Cape,2011,3894,44,301,96
209,NC081,Northern Cape,65,1124,11,17,6
210,NC082,Northern Cape,6108,7273,87,401,332
211,NC083,Northern Cape,4131,11632,104,1112,200
212,NC084,Northern Cape,180,2291,27,86,31
213,NC086,Northern Cape,1644,1436,20,193,26
214,NC091,Northern Cape,28164,12796,457,2312,1047
215,NC092,Northern Cape,4797,2535,49,190,648
216,NC093,Northern Cape,3555,660,29,136,6
217,NC451,Northern Cape,15700,290,56,140,33
218,NC452,Northern Cape,15952,1360,71,497,81
219,NC453,Northern Cape,4188,2330,42,807,150
220,CPT,Northern Cape,305971,288721,9253,70014,10671
221,WC011,Western Cape,1325,9496,74,1140,151
222,WC013,Western Cape,1788,7692,44,1038,71
223,WC014,Western Cape,5217,10337,156,1970,135
224,WC015,Western Cape,4903,13579,102,1744,153
225,WC022,Western Cape,6401,14549,68,1091,144
226,WC023,Western Cape,12343,30521,222,5144,407
227,WC025,Western Cape,8307,19758,175,2209,306
228,WC026,Western Cape,3067,12852,37,1077,158
229,WC031,Western Cape,5828,12187,59,939,199
230,WC032,Western Cape,5616,4370,41,1509,129
231,WC034,Western Cape,944,4579,18,499,69
232,WC041,Western Cape,242,3755,8,214,19
233,WC042,Western Cape,575,6108,45,907,27
234,WC043,Western Cape,5024,6820,83,1810,136
