,geo_code,name,total,At least one employed adult,No employed adult,province
178,MP321,Thaba Chweu,16509,11850,4659,Mpumalanga
179,MP323,Umjindi,11900,8722,3178,Mpumalanga
180,MP324,Nkomazi,90696,44539,46157,Mpumalanga
181,MP325,Bushbuckridge,122688,44350,78338,Mpumalanga
182,NW371,Moretele,34588,17089,17499,Mpumalanga
183,NW372,Madibeng,85450,59893,25557,North West
184,NW374,Kgetlengrivier,8726,5897,2829,North West
185,NW375,Moses Kotane,41989,21824,20165,North West
186,NW381,Ratlou,19183,4846,14337,North West
187,NW382,Tswaing,22920,10807,12113,North West
188,NW383,Mafikeng,57486,30243,27243,North West
189,NW385,Ramotshere Moiloa,25725,9904,15821,North West
190,NW392,Naledi,11692,7816,3876,North West
191,NW393,Mamusa,10999,5691,5308,North West
192,NW394,Greater Taung,32668,9158,23510,North West
193,NW397,Kagisano/Molopo,18292,5909,12383,North West
194,NW401,Ventersdorp,9771,5593,4178,North West
195,NW402,Tlokwe City Council,32651,21175,11476,North West
196,NW403,City of Matlosana,70032,46760,23272,North West
197,NW404,Maquassi Hills,13995,7372,6623,North West
198,NC061,Richtersveld,1711,1500,211,North West
199,NC064,Kamiesberg,1296,780,516,Northern Cape
200,NC065,Hantam,3291,2570,721,Northern Cape
201,NC066,Karoo Hoogland,1594,1199,395,Northern Cape
202,NC067,Khâi-Ma,2149,1697,452,Northern Cape
203,NC072,Umsobomvu,4735,2672,2063,Northern Cape
204,NC073,Emthanjeni,6988,4719,2269,Northern Cape
205,NC074,Kareeberg,1728,1155,573,Northern Cape
206,NC075,Renosterberg,1697,1035,662,Northern Cape
207,NC076,Thembelihle,2670,1888,782,Northern Cape
208,NC078,Siyancuma,6116,3788,2328,Northern Cape
209,NC081,Mier,1119,606,513,Northern Cape
210,NC082,Kai !Garib,13946,11517,2429,Northern Cape
211,NC083,//Khara Hais,16570,11944,4626,Northern Cape
212,NC084,!Kheis,2460,1658,802,Northern Cape
213,NC086,Kgatelopele,3291,2304,987,Northern Cape
214,NC091,Sol Plaatjie,43431,28671,14760,Northern Cape
215,NC092,Dikgatlong,8098,4017,4081,Northern Cape
216,NC093,Magareng,4342,1906,2436,Northern Cape
217,NC451,Joe Morolong,15829,3916,11913,Northern Cape
218,NC452,Ga-Segonyana,17690,9744,7946,Northern Cape
219,NC453,Gamagara,7125,5797,1328,Northern Cape
220,CPT,City of Cape Town,660413,518641,141772,Northern Cape
221,WC011,Matzikama,11276,9478,1798,Western Cape
222,WC013,Bergrivier,9482,8700,782,Western Cape
223,WC014,Saldanha Bay,17030,14043,2987,Western Cape
224,WC015,Swartland,17971,15820,2151,Western Cape
225,WC022,Witzenberg,21328,19254,2074,Western Cape
226,WC023,Drakenstein,44966,37226,7740,Western Cape
227,WC025,Breede Valley,28959,24042,4917,Western Cape
228,WC026,Langeberg,16872,14283,2589,Western Cape
229,WC031,Theewaterskloof,18566,16010,2556,Western Cape
230,WC032,Overstrand,11421,9006,2415,Western Cape
231,WC034,Swellendam,5850,4962,888,Western Cape
232,WC041,Kannaland,4035,2982,1053,Western Cape
233,WC042,Hessequa,7581,6492,1089,Western Cape
234,WC043,Mossel Bay,13684,9882,3802,Western Cape
